,Time,Color,Move,Black,White
0, 0.001, X ,"(E, 3)",4,1
1, 0.002, O ,"(D, 3)",3,3
2, 0.001, X ,"(C, 4)",5,2
3, 0.001, O ,"(B, 3)",4,4
4, 0.001, X ,"(C, 5)",6,3
5, 0.002, O ,"(F, 3)",5,5
6, 0.001, X ,"(B, 4)",7,4
7, 0.002, O ,"(F, 5)",6,6
8, 0.001, X ,"(D, 2)",8,5
9, 0.001, O ,"(C, 1)",7,7
10, 0.001, X ,"(G, 5)",9,6
11, 0.002, O ,"(C, 2)",8,8
12, 0.001, X ,"(G, 2)",11,6
13, 0.002, O ,"(G, 3)",10,8
14, 0.001, X ,"(E, 2)",13,6
15, 0.001, O ,"(H, 1)",12,8
16, 0.001, X ,"(D, 1)",14,7
17, 0.002, O ,"(E, 1)",13,9
18, 0.000, X ,"(H, 3)",16,7
19, 0.002, O ,"(C, 3)",15,9
20, 0.000, X ,"(F, 1)",17,8
21, 0.003, O ,"(G, 1)",16,10
22, 0.000, X ,"(A, 3)",19,8
23, 0.002, O ,"(F, 2)",18,10
24, 0.000, X ,"(B, 2)",23,6
25, 0.002, O ,"(A, 4)",21,9
26, 0.000, X ,"(A, 2)",23,8
27, 0.003, O ,"(A, 1)",21,11
28, 0.000, X ,"(B, 1)",23,10
29, 0.001, O ,"(H, 4)",21,13
30, 0.001, X ,"(G, 4)",23,12
31, 0.002, O ,"(H, 2)",21,15
32, 0.001, O ,"(A, 5)",18,19
33, 0.000, X ,"(B, 5)",20,18
34, 0.002, O ,"(B, 6)",17,22
35, 0.001, X ,"(D, 6)",19,21
36, 0.002, O ,"(F, 6)",17,24
37, 0.000, X ,"(B, 7)",19,23
38, 0.001, O ,"(C, 7)",17,26
39, 0.001, X ,"(D, 7)",20,24
40, 0.002, O ,"(H, 5)",17,28
41, 0.001, X ,"(F, 7)",19,27
42, 0.002, O ,"(F, 4)",17,30
43, 0.000, X ,"(A, 7)",19,29
44, 0.001, O ,"(G, 6)",18,31
45, 0.001, X ,"(H, 7)",22,28
46, 0.002, O ,"(C, 6)",17,34
47, 0.000, X ,"(E, 6)",20,32
48, 0.002, O ,"(D, 8)",15,38
49, 0.000, X ,"(C, 8)",20,34
50, 0.004, O ,"(A, 8)",18,37
51, 0.000, X ,"(A, 6)",24,32
52, 0.001, O ,"(E, 7)",19,38
53, 0.000, X ,"(E, 8)",21,37
54, 0.004, O ,"(B, 8)",17,42
55, 0.000, X ,"(G, 7)",22,38
56, 0.001, O ,"(H, 8)",16,45
57, 0.000, X ,"(G, 8)",18,44
58, 0.000, O ,"(F, 8)",13,50
59, 0.000, O ,"(H, 6)",10,54
