,Time,Color,Move,Black,White
0, 0.001, X ,"(D, 6)",4,1
1, 3.665, O ,"(C, 4)",3,3
2, 0.001, X ,"(B, 3)",5,2
3, 12.641, O ,"(B, 4)",4,4
4, 0.001, X ,"(E, 3)",6,3
5, 29.749, O ,"(F, 2)",5,5
6, 0.001, X ,"(E, 2)",7,4
7, 61.540, O ,"(F, 4)",6,6
8, 0.001, X ,"(D, 3)",8,5
9, 162.356, O ,"(C, 2)",7,7
10, 0.000, X ,"(C, 3)",9,6
11, 389.549, O ,"(C, 6)",8,8
12, 0.001, X ,"(A, 4)",11,6
13, 224.942, O ,"(F, 5)",10,8
14, 0.000, X ,"(B, 6)",12,7
15, 281.812, O ,"(E, 1)",10,10
16, 0.000, X ,"(F, 1)",12,9
17, 269.865, O ,"(D, 7)",11,11
18, 0.000, X ,"(G, 1)",14,9
19, 256.187, O ,"(H, 1)",12,12
20, 0.001, X ,"(G, 4)",15,10
21, 336.792, O ,"(D, 2)",13,13
22, 0.000, X ,"(E, 6)",18,9
23, 442.935, O ,"(G, 2)",16,12
24, 0.000, X ,"(B, 1)",19,10
25, 172.306, O ,"(A, 5)",17,13
26, 0.000, X ,"(C, 5)",19,12
27, 455.022, O ,"(C, 1)",18,14
28, 0.001, X ,"(B, 2)",20,13
29, 273.641, O ,"(A, 1)",19,15
30, 0.000, X ,"(D, 8)",21,14
31, 98.459, O ,"(A, 2)",20,16
32, 0.000, X ,"(A, 6)",22,15
33, 54.452, O ,"(B, 5)",20,18
34, 0.000, X ,"(D, 1)",24,15
35, 69.367, O ,"(C, 7)",22,18
36, 0.000, X ,"(H, 2)",26,15
37, 71.050, O ,"(H, 3)",24,18
38, 0.000, X ,"(B, 8)",26,17
39, 38.252, O ,"(G, 3)",25,19
40, 0.000, X ,"(B, 7)",27,18
41, 16.084, O ,"(F, 7)",25,21
42, 0.001, X ,"(F, 6)",27,20
43, 27.401, O ,"(A, 8)",25,23
44, 0.001, X ,"(F, 8)",27,22
45, 17.675, O ,"(E, 8)",26,24
46, 0.000, X ,"(A, 7)",28,23
47, 8.271, O ,"(A, 3)",24,28
48, 0.001, X ,"(E, 7)",26,27
49, 2.330, O ,"(H, 4)",22,32
50, 0.000, X ,"(F, 3)",27,28
51, 1.017, O ,"(G, 6)",17,39
52, 0.000, X ,"(H, 5)",19,38
53, 0.122, O ,"(G, 5)",15,43
54, 0.000, X ,"(G, 8)",18,41
55, 0.013, O ,"(H, 8)",16,44
56, 0.000, X ,"(H, 6)",19,42
57, 0.001, O ,"(H, 7)",16,46
58, 0.001, O ,"(G, 7)",9,54
59, 0.000, X ,"(C, 8)",15,49
