,Time,Color,Move,Black,White
0, 0.012, X ,"(E, 3)",4,1
1, 0.000, O ,"(D, 3)",3,3
2, 0.012, X ,"(C, 2)",5,2
3, 0.001, O ,"(F, 4)",4,4
4, 0.021, X ,"(C, 3)",6,3
5, 0.000, O ,"(C, 4)",5,5
6, 0.021, X ,"(G, 3)",7,4
7, 0.002, O ,"(B, 2)",6,6
8, 0.019, X ,"(A, 1)",10,3
9, 0.001, O ,"(C, 1)",8,6
10, 0.019, X ,"(B, 1)",10,5
11, 0.001, O ,"(G, 4)",9,7
12, 0.024, X ,"(D, 1)",11,6
13, 0.001, O ,"(E, 6)",10,8
14, 0.033, X ,"(B, 3)",12,7
15, 0.001, O ,"(E, 2)",10,10
16, 0.024, X ,"(C, 5)",12,9
17, 0.001, O ,"(A, 3)",10,12
18, 0.040, X ,"(A, 2)",12,11
19, 0.001, O ,"(H, 2)",11,13
20, 0.017, X ,"(A, 4)",13,12
21, 0.000, O ,"(B, 5)",11,15
22, 0.020, X ,"(D, 2)",13,14
23, 0.000, O ,"(E, 1)",12,16
24, 0.017, X ,"(F, 3)",15,14
25, 0.000, O ,"(G, 2)",14,16
26, 0.023, X ,"(F, 1)",16,15
27, 0.001, O ,"(F, 2)",13,19
28, 0.031, X ,"(H, 4)",16,17
29, 0.000, O ,"(H, 3)",15,19
30, 0.022, X ,"(H, 1)",18,17
31, 0.000, O ,"(G, 1)",17,19
32, 0.011, X ,"(A, 6)",20,17
33, 0.001, O ,"(B, 4)",19,19
34, 0.012, X ,"(A, 5)",23,16
35, 0.009, X ,"(G, 5)",26,14
36, 0.000, O ,"(G, 6)",25,16
37, 0.009, X ,"(H, 6)",27,15
38, 0.000, O ,"(F, 5)",26,17
39, 0.017, X ,"(H, 5)",30,14
40, 0.008, X ,"(G, 7)",32,13
41, 0.001, O ,"(H, 7)",31,15
42, 0.010, X ,"(H, 8)",33,14
43, 0.000, O ,"(G, 8)",32,16
44, 0.005, X ,"(F, 8)",35,14
45, 0.006, X ,"(C, 6)",40,10
46, 0.000, O ,"(B, 6)",39,12
47, 0.008, X ,"(D, 6)",44,8
48, 0.000, O ,"(D, 7)",42,11
49, 0.007, X ,"(D, 8)",47,7
50, 0.000, O ,"(B, 7)",43,12
51, 0.007, X ,"(A, 8)",50,6
52, 0.000, O ,"(C, 8)",49,8
53, 0.004, X ,"(A, 7)",51,7
54, 0.000, O ,"(E, 8)",50,9
55, 0.001, X ,"(E, 7)",52,8
56, 0.000, O ,"(F, 7)",51,10
57, 0.001, X ,"(C, 7)",55,7
58, 0.000, O ,"(F, 6)",54,9
59, 0.001, X ,"(B, 8)",58,6
