,Time,Color,Move,Black,White
0, 0.001, X ,"(F, 4)",4,1
1, 0.023, O ,"(D, 3)",3,3
2, 0.000, X ,"(C, 3)",5,2
3, 0.024, O ,"(B, 3)",4,4
4, 0.001, X ,"(B, 2)",6,3
5, 0.029, O ,"(F, 3)",5,5
6, 0.000, X ,"(A, 3)",7,4
7, 0.038, O ,"(C, 4)",6,6
8, 0.000, X ,"(F, 2)",8,5
9, 0.107, O ,"(C, 2)",7,7
10, 0.001, X ,"(D, 1)",9,6
11, 0.108, O ,"(A, 1)",8,8
12, 0.001, X ,"(B, 1)",10,7
13, 0.083, O ,"(A, 2)",9,9
14, 0.000, X ,"(E, 3)",14,5
15, 0.155, O ,"(E, 2)",13,7
16, 0.001, X ,"(D, 2)",15,6
17, 0.125, O ,"(F, 1)",14,8
18, 0.000, X ,"(D, 6)",18,5
19, 0.081, O ,"(A, 4)",17,7
20, 0.001, X ,"(B, 5)",19,6
21, 0.070, O ,"(G, 4)",18,8
22, 0.000, X ,"(H, 4)",20,7
23, 0.099, O ,"(F, 5)",19,9
24, 0.000, X ,"(G, 6)",21,8
25, 0.103, O ,"(C, 1)",17,13
26, 0.000, X ,"(G, 2)",19,12
27, 0.133, O ,"(G, 3)",18,14
28, 0.000, X ,"(H, 2)",21,12
29, 0.115, O ,"(G, 1)",20,14
30, 0.001, X ,"(E, 1)",25,10
31, 0.071, O ,"(H, 1)",24,12
32, 0.061, O ,"(B, 4)",23,14
33, 0.001, X ,"(A, 5)",25,13
34, 0.044, O ,"(H, 3)",23,16
35, 0.049, O ,"(H, 5)",21,19
36, 0.055, O ,"(F, 7)",20,21
37, 0.000, X ,"(H, 7)",22,20
38, 0.037, O ,"(G, 5)",19,24
39, 0.000, X ,"(E, 8)",21,23
40, 0.034, O ,"(B, 6)",19,26
41, 0.001, X ,"(A, 6)",21,25
42, 0.042, O ,"(C, 7)",19,28
43, 0.001, X ,"(D, 7)",21,27
44, 0.048, O ,"(F, 6)",20,29
45, 0.000, X ,"(G, 7)",23,27
46, 0.058, O ,"(C, 5)",17,34
47, 0.000, X ,"(E, 6)",19,33
48, 0.055, O ,"(H, 8)",16,37
49, 0.000, X ,"(A, 7)",21,33
50, 0.057, O ,"(A, 8)",18,37
51, 0.000, X ,"(C, 6)",20,36
52, 0.037, O ,"(B, 7)",15,42
53, 0.000, X ,"(C, 8)",18,40
54, 0.011, O ,"(F, 8)",17,42
55, 0.000, X ,"(G, 8)",21,39
56, 0.004, O ,"(E, 7)",16,45
57, 0.000, X ,"(D, 8)",20,42
58, 0.001, O ,"(H, 6)",18,45
59, 0.000, X ,"(B, 8)",20,44
