,Time,Color,Move,Black,White
0, 0.437, X ,"(E, 3)",4,1
1, 0.000, O ,"(F, 3)",3,3
2, 1.268, X ,"(F, 4)",5,2
3, 0.000, O ,"(D, 3)",3,5
4, 7.472, X ,"(C, 2)",5,4
5, 0.001, O ,"(G, 4)",3,7
6, 5.720, X ,"(C, 3)",5,6
7, 0.001, O ,"(C, 5)",4,8
8, 6.947, X ,"(F, 5)",6,7
9, 0.000, O ,"(D, 2)",5,9
10, 25.006, X ,"(E, 1)",7,8
11, 0.001, O ,"(G, 6)",5,11
12, 11.521, X ,"(E, 2)",8,9
13, 0.001, O ,"(B, 1)",7,11
14, 32.554, X ,"(C, 1)",9,10
15, 0.001, O ,"(B, 3)",8,12
16, 24.761, X ,"(A, 1)",10,11
17, 0.000, O ,"(F, 1)",9,13
18, 29.597, X ,"(F, 2)",11,12
19, 0.000, O ,"(D, 1)",7,17
20, 17.636, X ,"(F, 6)",11,14
21, 0.001, O ,"(G, 7)",9,17
22, 18.741, X ,"(F, 7)",11,16
23, 0.001, O ,"(G, 5)",8,20
24, 24.868, X ,"(H, 8)",10,19
25, 0.000, O ,"(G, 8)",9,21
26, 21.712, X ,"(E, 6)",11,20
27, 0.000, O ,"(D, 6)",8,24
28, 21.723, X ,"(E, 7)",11,22
29, 0.000, O ,"(D, 7)",8,26
30, 15.789, X ,"(G, 3)",10,25
31, 0.000, O ,"(H, 2)",7,29
32, 7.865, X ,"(G, 1)",11,26
33, 0.001, O ,"(G, 2)",8,30
34, 4.353, X ,"(H, 4)",11,28
35, 0.000, O ,"(H, 3)",10,30
36, 5.449, X ,"(H, 1)",13,28
37, 5.766, X ,"(A, 4)",16,26
38, 0.001, O ,"(A, 3)",15,28
39, 7.498, X ,"(A, 2)",17,27
40, 0.000, O ,"(B, 2)",16,29
41, 2.498, X ,"(H, 5)",20,26
42, 2.294, X ,"(H, 6)",25,22
43, 2.006, X ,"(C, 8)",29,19
44, 0.000, O ,"(C, 7)",28,21
45, 1.508, X ,"(B, 4)",32,18
46, 0.000, O ,"(C, 4)",31,20
47, 0.978, X ,"(C, 6)",40,12
48, 0.000, O ,"(B, 8)",38,15
49, 0.524, X ,"(A, 8)",40,14
50, 0.000, O ,"(B, 5)",36,19
51, 0.389, X ,"(A, 6)",40,16
52, 0.000, O ,"(A, 5)",39,18
53, 0.114, X ,"(B, 6)",45,13
54, 0.000, O ,"(A, 7)",44,15
55, 0.017, X ,"(H, 7)",46,14
56, 0.000, O ,"(B, 7)",45,16
57, 0.001, X ,"(F, 8)",51,11
58, 0.000, O ,"(E, 8)",49,14
59, 0.000, X ,"(D, 8)",54,10
