,Time,Color,Move,Black,White
0, 0.001, X ,"(D, 6)",4,1
1, 0.002, O ,"(C, 4)",3,3
2, 0.001, X ,"(B, 3)",5,2
3, 0.005, O ,"(B, 4)",4,4
4, 0.001, X ,"(D, 3)",6,3
5, 0.002, O ,"(C, 2)",5,5
6, 0.000, X ,"(A, 4)",8,3
7, 0.002, O ,"(B, 5)",7,5
8, 0.000, X ,"(F, 4)",9,4
9, 0.002, O ,"(F, 5)",8,6
10, 0.001, X ,"(C, 6)",10,5
11, 0.003, O ,"(F, 3)",9,7
12, 0.001, X ,"(D, 2)",11,6
13, 0.002, O ,"(A, 6)",10,8
14, 0.001, X ,"(D, 1)",12,7
15, 0.003, O ,"(E, 2)",11,9
16, 0.001, X ,"(G, 6)",15,6
17, 0.003, O ,"(E, 6)",14,8
18, 0.000, X ,"(F, 2)",18,5
19, 0.002, O ,"(F, 1)",16,8
20, 0.000, X ,"(F, 6)",18,7
21, 0.001, O ,"(G, 5)",16,10
22, 0.000, X ,"(B, 6)",18,9
23, 0.003, O ,"(C, 3)",17,11
24, 0.001, X ,"(G, 4)",20,9
25, 0.003, O ,"(C, 1)",19,11
26, 0.000, X ,"(E, 3)",22,9
27, 0.002, O ,"(E, 1)",21,11
28, 0.001, X ,"(C, 5)",26,7
29, 0.002, O ,"(G, 3)",25,9
30, 0.000, X ,"(H, 3)",27,8
31, 0.002, O ,"(H, 4)",26,10
32, 0.001, X ,"(B, 1)",28,9
33, 0.004, O ,"(A, 1)",27,11
34, 0.000, X ,"(G, 1)",29,10
35, 0.002, O ,"(H, 1)",28,12
36, 0.000, X ,"(H, 2)",30,11
37, 0.002, O ,"(G, 2)",29,13
38, 0.001, X ,"(H, 5)",31,12
39, 0.003, O ,"(B, 2)",29,15
40, 0.000, X ,"(A, 2)",36,9
41, 0.002, O ,"(A, 3)",34,12
42, 0.002, O ,"(A, 5)",30,17
43, 0.002, O ,"(C, 7)",26,22
44, 0.001, X ,"(B, 7)",29,20
45, 0.001, O ,"(A, 8)",23,27
46, 0.001, X ,"(D, 7)",25,26
47, 0.002, O ,"(H, 6)",12,40
48, 0.000, X ,"(A, 7)",17,36
49, 0.001, O ,"(B, 8)",13,41
50, 0.000, X ,"(E, 7)",16,39
51, 0.001, O ,"(C, 8)",12,44
52, 0.000, X ,"(F, 7)",20,37
53, 0.001, O ,"(F, 8)",11,47
54, 0.000, X ,"(G, 8)",13,46
55, 0.000, O ,"(H, 8)",12,48
56, 0.000, X ,"(H, 7)",16,45
57, 0.000, O ,"(G, 7)",14,48
58, 0.000, X ,"(D, 8)",17,46
59, 0.000, O ,"(E, 8)",15,49
