,Time,Color,Move,Black,White
0, 0.000, X ,"(D, 6)",4,1
1, 0.032, O ,"(C, 4)",3,3
2, 0.000, X ,"(D, 3)",5,2
3, 0.051, O ,"(C, 2)",4,4
4, 0.001, X ,"(F, 3)",6,3
5, 0.056, O ,"(F, 5)",5,5
6, 0.001, X ,"(F, 4)",7,4
7, 0.116, O ,"(F, 2)",5,7
8, 0.001, X ,"(B, 3)",7,6
9, 0.128, O ,"(A, 4)",6,8
10, 0.000, X ,"(D, 2)",8,7
11, 0.107, O ,"(E, 2)",7,9
12, 0.000, X ,"(D, 1)",9,8
13, 0.138, O ,"(C, 5)",7,11
14, 0.001, X ,"(G, 2)",11,8
15, 0.173, O ,"(F, 1)",9,11
16, 0.001, X ,"(A, 2)",11,10
17, 0.165, O ,"(H, 1)",10,12
18, 0.000, X ,"(E, 6)",13,10
19, 0.172, O ,"(C, 3)",12,12
20, 0.001, X ,"(G, 5)",14,11
21, 0.216, O ,"(A, 3)",13,13
22, 0.001, X ,"(B, 2)",16,11
23, 0.236, O ,"(A, 1)",15,13
24, 0.000, X ,"(G, 4)",18,11
25, 0.110, O ,"(E, 7)",17,13
26, 0.000, X ,"(B, 5)",20,11
27, 0.164, O ,"(C, 1)",19,13
28, 0.000, X ,"(H, 2)",22,11
29, 0.141, O ,"(E, 1)",21,13
30, 0.000, X ,"(C, 7)",23,12
31, 0.121, O ,"(H, 3)",21,15
32, 0.000, X ,"(F, 8)",23,14
33, 0.061, O ,"(G, 3)",22,16
34, 0.000, X ,"(G, 1)",25,14
35, 0.103, O ,"(B, 4)",23,17
36, 0.000, X ,"(B, 1)",31,10
37, 0.063, O ,"(A, 5)",30,12
38, 0.000, X ,"(E, 3)",33,10
39, 0.046, O ,"(B, 6)",32,12
40, 0.000, X ,"(A, 7)",34,11
41, 0.054, O ,"(B, 7)",33,13
42, 0.001, X ,"(B, 8)",38,9
43, 0.029, O ,"(F, 6)",36,12
44, 0.001, X ,"(G, 7)",41,8
45, 0.026, O ,"(H, 8)",35,15
46, 0.000, X ,"(F, 7)",37,14
47, 0.037, O ,"(C, 6)",30,22
48, 0.001, X ,"(H, 6)",32,21
49, 0.045, O ,"(G, 6)",25,29
50, 0.000, X ,"(H, 4)",30,25
51, 0.031, O ,"(H, 5)",27,29
52, 0.000, X ,"(D, 7)",31,26
53, 0.015, O ,"(H, 7)",30,28
54, 0.000, X ,"(A, 6)",33,26
55, 0.004, O ,"(D, 8)",29,31
56, 0.000, X ,"(C, 8)",33,28
57, 0.001, O ,"(A, 8)",26,36
58, 0.000, X ,"(E, 8)",31,32
59, 0.001, O ,"(G, 8)",26,38
