,Time,Color,Move,Black,White
0, 0.193, X ,"(E, 3)",4,1
1, 0.002, O ,"(D, 3)",3,3
2, 0.606, X ,"(C, 4)",5,2
3, 0.001, O ,"(B, 3)",4,4
4, 0.980, X ,"(B, 4)",6,3
5, 0.001, O ,"(B, 5)",4,6
6, 1.096, X ,"(C, 2)",6,5
7, 0.001, O ,"(D, 1)",5,7
8, 0.884, X ,"(D, 6)",7,6
9, 0.001, O ,"(E, 2)",6,8
10, 1.446, X ,"(D, 2)",8,7
11, 0.001, O ,"(D, 7)",3,13
12, 1.627, X ,"(C, 3)",6,11
13, 0.001, O ,"(F, 3)",2,16
14, 1.854, X ,"(F, 2)",4,15
15, 0.001, O ,"(E, 6)",3,17
16, 3.012, X ,"(C, 1)",5,16
17, 0.000, O ,"(G, 2)",4,18
18, 6.016, X ,"(F, 4)",6,17
19, 0.001, O ,"(E, 1)",5,19
20, 7.011, X ,"(H, 1)",8,17
21, 0.001, O ,"(G, 5)",6,20
22, 7.859, X ,"(G, 4)",8,19
23, 0.001, O ,"(B, 1)",7,21
24, 3.294, X ,"(F, 1)",9,20
25, 0.000, O ,"(C, 5)",8,22
26, 3.566, X ,"(A, 1)",13,18
27, 0.000, O ,"(F, 5)",12,20
28, 5.243, X ,"(F, 6)",14,19
29, 0.000, O ,"(E, 7)",13,21
30, 6.836, X ,"(G, 6)",15,20
31, 0.000, O ,"(H, 6)",12,24
32, 5.095, X ,"(H, 5)",14,23
33, 0.000, O ,"(H, 4)",11,27
34, 3.089, X ,"(H, 3)",13,26
35, 0.000, O ,"(G, 3)",11,29
36, 1.961, X ,"(F, 7)",13,28
37, 0.000, O ,"(G, 8)",12,30
38, 4.016, X ,"(E, 8)",19,24
39, 0.001, O ,"(D, 8)",17,27
40, 5.268, X ,"(F, 8)",20,25
41, 0.000, O ,"(G, 7)",17,29
42, 1.276, X ,"(H, 8)",19,28
43, 0.000, O ,"(H, 2)",15,33
44, 0.794, X ,"(A, 2)",19,30
45, 0.000, O ,"(A, 4)",18,32
46, 0.422, X ,"(A, 3)",26,25
47, 0.000, O ,"(B, 2)",23,29
48, 0.564, X ,"(H, 7)",32,21
49, 0.001, O ,"(C, 7)",31,23
50, 0.297, X ,"(G, 1)",37,18
51, 0.000, O ,"(C, 6)",33,23
52, 0.130, X ,"(A, 5)",42,15
53, 0.000, O ,"(A, 6)",41,17
54, 0.035, X ,"(B, 6)",45,14
55, 0.000, O ,"(A, 7)",43,17
56, 0.006, X ,"(B, 8)",45,16
57, 0.000, O ,"(C, 8)",43,19
58, 0.001, X ,"(A, 8)",46,17
59, 0.000, X ,"(B, 7)",51,13
