,Time,Color,Move,Black,White
0, 0.007, X ,"(E, 3)",4,1
1, 0.000, O ,"(F, 3)",3,3
2, 0.007, X ,"(F, 4)",5,2
3, 0.001, O ,"(F, 5)",3,5
4, 0.022, X ,"(G, 3)",5,4
5, 0.002, O ,"(H, 2)",4,6
6, 0.025, X ,"(H, 3)",6,5
7, 0.001, O ,"(G, 2)",4,8
8, 0.017, X ,"(H, 1)",6,7
9, 0.000, O ,"(C, 4)",5,9
10, 0.021, X ,"(F, 1)",7,8
11, 0.002, O ,"(F, 2)",6,10
12, 0.014, X ,"(E, 1)",8,9
13, 0.000, O ,"(G, 1)",7,11
14, 0.009, X ,"(E, 2)",9,10
15, 0.000, O ,"(G, 4)",7,13
16, 0.014, X ,"(H, 4)",9,12
17, 0.000, O ,"(D, 2)",7,15
18, 0.015, X ,"(C, 3)",9,14
19, 0.001, O ,"(B, 2)",8,16
20, 0.012, X ,"(D, 3)",12,13
21, 0.000, O ,"(C, 1)",10,16
22, 0.021, X ,"(C, 2)",12,15
23, 0.000, O ,"(B, 1)",10,18
24, 0.013, X ,"(H, 5)",12,17
25, 0.000, O ,"(D, 1)",9,21
26, 0.014, X ,"(A, 1)",16,15
27, 0.000, O ,"(G, 5)",14,18
28, 0.014, X ,"(A, 3)",16,17
29, 0.000, O ,"(A, 2)",15,19
30, 0.020, X ,"(B, 5)",18,17
31, 0.001, O ,"(A, 4)",17,19
32, 0.022, X ,"(B, 4)",20,17
33, 0.001, O ,"(B, 3)",17,21
34, 0.011, X ,"(C, 6)",20,19
35, 0.000, O ,"(E, 6)",19,21
36, 0.029, X ,"(E, 7)",22,19
37, 0.000, O ,"(B, 6)",20,22
38, 0.011, X ,"(D, 6)",24,19
39, 0.000, O ,"(B, 7)",20,24
40, 0.016, X ,"(A, 8)",27,18
41, 0.000, O ,"(F, 6)",22,24
42, 0.011, X ,"(A, 6)",25,22
43, 0.001, O ,"(E, 8)",24,24
44, 0.013, X ,"(C, 5)",28,21
45, 0.001, O ,"(A, 5)",25,25
46, 0.009, X ,"(G, 6)",35,16
47, 0.000, O ,"(H, 7)",31,21
48, 0.007, X ,"(H, 6)",33,20
49, 0.001, O ,"(A, 7)",31,23
50, 0.003, X ,"(H, 8)",33,22
51, 0.000, O ,"(C, 7)",30,26
52, 0.004, X ,"(B, 8)",41,16
53, 0.000, O ,"(G, 7)",38,20
54, 0.005, X ,"(F, 7)",42,17
55, 0.001, O ,"(G, 8)",40,20
56, 0.002, X ,"(D, 7)",45,16
57, 0.000, O ,"(D, 8)",41,21
58, 0.001, X ,"(C, 8)",44,19
59, 0.000, O ,"(F, 8)",43,21
