,Time,Color,Move,Black,White
0, 0.249, X ,"(E, 3)",4,1
1, 0.001, O ,"(F, 5)",3,3
2, 0.556, X ,"(C, 6)",5,2
3, 0.000, O ,"(C, 3)",4,4
4, 0.804, X ,"(C, 5)",6,3
5, 0.001, O ,"(D, 3)",5,5
6, 1.751, X ,"(F, 3)",7,4
7, 0.001, O ,"(G, 3)",5,7
8, 2.913, X ,"(D, 2)",7,6
9, 0.001, O ,"(C, 1)",6,8
10, 2.804, X ,"(D, 1)",8,7
11, 0.001, O ,"(E, 1)",6,10
12, 2.388, X ,"(E, 6)",8,9
13, 0.001, O ,"(D, 6)",5,13
14, 3.906, X ,"(C, 2)",7,12
15, 0.001, O ,"(B, 2)",6,14
16, 5.895, X ,"(A, 1)",10,11
17, 0.001, O ,"(B, 7)",9,13
18, 10.325, X ,"(C, 4)",11,12
19, 0.001, O ,"(B, 5)",8,16
20, 11.273, X ,"(C, 7)",11,14
21, 0.001, O ,"(B, 4)",9,17
22, 41.782, X ,"(A, 8)",11,16
23, 0.000, O ,"(B, 6)",10,18
24, 8.441, X ,"(B, 1)",12,17
25, 0.001, O ,"(D, 8)",11,19
26, 8.752, X ,"(F, 2)",13,18
27, 0.000, O ,"(B, 8)",12,20
28, 7.084, X ,"(E, 2)",14,19
29, 0.000, O ,"(F, 6)",13,21
30, 5.840, X ,"(B, 3)",15,20
31, 0.000, O ,"(F, 4)",10,26
32, 4.710, X ,"(G, 4)",12,25
33, 0.000, O ,"(G, 1)",11,27
34, 3.856, X ,"(F, 1)",16,23
35, 0.000, O ,"(G, 2)",13,27
36, 5.237, X ,"(A, 5)",15,26
37, 0.000, O ,"(G, 5)",14,28
38, 2.877, X ,"(A, 6)",17,26
39, 0.000, O ,"(A, 3)",13,31
40, 1.492, X ,"(A, 4)",16,29
41, 0.000, O ,"(A, 2)",12,34
42, 1.220, X ,"(H, 1)",20,27
43, 0.000, O ,"(H, 2)",19,29
44, 0.774, X ,"(C, 8)",22,27
45, 0.000, O ,"(A, 7)",19,31
46, 0.544, X ,"(H, 6)",24,27
47, 0.000, O ,"(D, 7)",20,32
48, 0.281, X ,"(H, 5)",22,31
49, 0.000, O ,"(H, 3)",21,33
50, 0.156, X ,"(H, 4)",27,28
51, 0.001, O ,"(G, 6)",24,32
52, 0.089, X ,"(G, 7)",35,22
53, 0.000, O ,"(H, 7)",34,24
54, 0.041, X ,"(E, 8)",36,23
55, 0.000, O ,"(F, 7)",34,26
56, 0.006, X ,"(H, 8)",38,23
57, 0.000, O ,"(G, 8)",37,25
58, 0.001, X ,"(F, 8)",41,22
59, 0.001, X ,"(E, 7)",45,19
