,Time,Color,Move,Black,White
0, 0.001, X ,"(F, 4)",4,1
1, 0.694, O ,"(D, 3)",3,3
2, 0.001, X ,"(C, 3)",5,2
3, 1.083, O ,"(F, 3)",4,4
4, 0.001, X ,"(D, 6)",6,3
5, 4.528, O ,"(C, 4)",5,5
6, 0.001, X ,"(E, 3)",8,3
7, 18.359, O ,"(C, 2)",7,5
8, 0.000, X ,"(B, 5)",9,4
9, 18.877, O ,"(C, 5)",8,6
10, 0.000, X ,"(F, 2)",10,5
11, 23.876, O ,"(D, 2)",9,7
12, 0.001, X ,"(C, 1)",11,6
13, 27.710, O ,"(A, 5)",10,8
14, 0.000, X ,"(B, 6)",13,6
15, 17.287, O ,"(D, 1)",12,8
16, 0.000, X ,"(B, 3)",16,5
17, 18.336, O ,"(E, 2)",14,8
18, 0.001, X ,"(E, 1)",18,5
19, 16.869, O ,"(F, 1)",17,7
20, 0.000, X ,"(B, 1)",20,5
21, 10.518, O ,"(A, 1)",16,10
22, 0.000, X ,"(B, 4)",19,8
23, 6.646, O ,"(B, 2)",17,11
24, 0.001, X ,"(A, 2)",22,7
25, 6.233, O ,"(A, 4)",20,10
26, 0.000, X ,"(A, 3)",22,9
27, 6.549, O ,"(A, 6)",18,14
28, 0.000, X ,"(A, 7)",22,11
29, 4.654, O ,"(G, 3)",19,15
30, 0.000, X ,"(G, 2)",23,12
31, 13.185, O ,"(G, 4)",18,18
32, 0.000, X ,"(H, 4)",25,12
33, 4.708, O ,"(G, 1)",24,14
34, 0.000, X ,"(C, 6)",26,13
35, 2.551, O ,"(H, 1)",25,15
36, 0.000, X ,"(H, 2)",29,12
37, 1.917, O ,"(F, 5)",27,15
38, 0.000, X ,"(E, 6)",29,14
39, 3.135, O ,"(G, 6)",28,16
40, 0.000, X ,"(F, 6)",32,13
41, 4.123, O ,"(H, 5)",29,17
42, 0.000, X ,"(G, 5)",31,16
43, 2.937, O ,"(H, 6)",29,19
44, 0.001, X ,"(G, 7)",32,17
45, 2.344, O ,"(A, 8)",26,24
46, 0.000, X ,"(H, 7)",29,22
47, 1.043, O ,"(H, 8)",23,29
48, 0.000, X ,"(E, 7)",25,28
49, 1.074, O ,"(H, 3)",18,36
50, 0.000, X ,"(G, 8)",20,35
51, 0.312, O ,"(B, 7)",14,42
52, 0.000, X ,"(C, 7)",16,41
53, 0.144, O ,"(C, 8)",12,46
54, 0.001, X ,"(B, 8)",14,45
55, 0.031, O ,"(D, 7)",9,51
56, 0.000, X ,"(D, 8)",16,45
57, 0.002, O ,"(F, 8)",12,50
58, 0.000, X ,"(F, 7)",15,48
59, 0.000, O ,"(E, 8)",7,57
