,Time,Color,Move,Black,White
0, 0.000, X ,"(F, 4)",4,1
1, 0.065, O ,"(D, 3)",3,3
2, 0.000, X ,"(C, 2)",5,2
3, 0.168, O ,"(D, 2)",4,4
4, 0.000, X ,"(C, 6)",6,3
5, 0.289, O ,"(F, 5)",5,5
6, 0.001, X ,"(E, 3)",7,4
7, 0.809, O ,"(F, 2)",6,6
8, 0.001, X ,"(G, 5)",8,5
9, 0.701, O ,"(D, 6)",7,7
10, 0.001, X ,"(C, 1)",10,5
11, 1.021, O ,"(D, 1)",9,7
12, 0.000, X ,"(C, 3)",12,5
13, 1.162, O ,"(B, 3)",11,7
14, 0.000, X ,"(E, 6)",13,6
15, 1.776, O ,"(C, 4)",12,8
16, 0.000, X ,"(C, 5)",17,4
17, 1.259, O ,"(B, 4)",16,6
18, 0.001, X ,"(E, 2)",18,5
19, 2.060, O ,"(E, 1)",17,7
20, 0.001, X ,"(A, 3)",21,4
21, 0.650, O ,"(B, 1)",20,6
22, 0.000, X ,"(G, 2)",22,5
23, 0.647, O ,"(G, 3)",21,7
24, 0.000, X ,"(G, 4)",23,6
25, 0.765, O ,"(H, 4)",22,8
26, 0.000, X ,"(H, 2)",24,7
27, 0.632, O ,"(F, 6)",23,9
28, 0.000, X ,"(G, 6)",26,7
29, 0.568, O ,"(A, 5)",24,10
30, 0.000, X ,"(A, 4)",26,9
31, 0.730, O ,"(A, 2)",24,12
32, 0.000, X ,"(G, 1)",26,11
33, 0.529, O ,"(F, 3)",23,15
34, 0.000, X ,"(B, 2)",25,14
35, 0.671, O ,"(D, 7)",22,18
36, 0.000, X ,"(C, 7)",24,17
37, 1.289, O ,"(A, 1)",22,20
38, 0.000, X ,"(D, 8)",24,19
39, 0.415, O ,"(B, 5)",20,24
40, 0.000, X ,"(B, 6)",24,21
41, 0.238, O ,"(C, 8)",21,25
42, 0.000, X ,"(B, 7)",25,22
43, 0.365, O ,"(A, 7)",24,24
44, 0.000, X ,"(B, 8)",26,23
45, 0.382, O ,"(A, 8)",22,28
46, 0.000, X ,"(A, 6)",26,25
47, 0.128, O ,"(E, 8)",21,31
48, 0.001, X ,"(F, 1)",26,27
49, 0.075, O ,"(F, 7)",22,32
50, 0.000, X ,"(E, 7)",26,29
51, 0.066, O ,"(F, 8)",24,32
52, 0.000, X ,"(G, 7)",27,30
53, 0.033, O ,"(H, 8)",23,35
54, 0.000, X ,"(G, 8)",25,34
55, 0.008, O ,"(H, 7)",18,42
56, 0.000, X ,"(H, 6)",21,40
57, 0.001, O ,"(H, 1)",18,44
58, 0.000, O ,"(H, 5)",14,49
59, 0.000, X ,"(H, 3)",17,47
