,Time,Color,Move,Black,White
0, 0.025, X ,"(E, 3)",4,1
1, 0.000, O ,"(F, 3)",3,3
2, 0.039, X ,"(F, 4)",5,2
3, 0.001, O ,"(D, 3)",3,5
4, 0.195, X ,"(C, 2)",5,4
5, 0.002, O ,"(E, 6)",3,7
6, 0.109, X ,"(D, 2)",5,6
7, 0.000, O ,"(D, 1)",3,9
8, 0.238, X ,"(C, 1)",5,8
9, 0.001, O ,"(F, 5)",4,10
10, 0.134, X ,"(E, 1)",6,9
11, 0.000, O ,"(B, 1)",5,11
12, 0.121, X ,"(A, 1)",7,10
13, 0.000, O ,"(E, 2)",5,13
14, 0.095, X ,"(B, 3)",7,12
15, 0.000, O ,"(B, 2)",6,14
16, 0.088, X ,"(A, 3)",8,13
17, 0.001, O ,"(A, 4)",7,15
18, 0.085, X ,"(C, 3)",11,12
19, 0.000, O ,"(A, 2)",7,17
20, 0.096, X ,"(G, 3)",11,14
21, 0.000, O ,"(B, 4)",9,17
22, 0.185, X ,"(F, 1)",11,16
23, 0.000, O ,"(G, 2)",10,18
24, 0.180, X ,"(E, 7)",14,15
25, 0.000, O ,"(D, 7)",13,17
26, 0.269, X ,"(H, 1)",16,15
27, 0.001, O ,"(H, 3)",12,20
28, 0.188, X ,"(C, 5)",14,19
29, 0.000, O ,"(F, 6)",13,21
30, 0.204, X ,"(C, 7)",15,20
31, 0.000, O ,"(B, 5)",13,23
32, 0.136, X ,"(G, 6)",15,22
33, 0.001, O ,"(H, 6)",14,24
34, 0.237, X ,"(F, 7)",16,23
35, 0.000, O ,"(F, 2)",15,25
36, 0.238, X ,"(H, 5)",17,24
37, 0.001, O ,"(H, 7)",14,28
38, 0.141, X ,"(H, 8)",17,26
39, 0.000, O ,"(H, 2)",16,28
40, 0.131, X ,"(G, 5)",20,25
41, 0.000, O ,"(C, 8)",19,27
42, 0.159, X ,"(G, 1)",21,26
43, 0.000, O ,"(F, 8)",19,29
44, 0.122, X ,"(H, 4)",23,26
45, 0.001, O ,"(E, 8)",22,28
46, 0.085, X ,"(G, 7)",32,19
47, 0.000, O ,"(D, 6)",31,21
48, 0.043, X ,"(C, 6)",38,15
49, 0.001, O ,"(D, 8)",34,20
50, 0.021, X ,"(A, 5)",42,13
51, 0.000, O ,"(B, 8)",41,15
52, 0.006, X ,"(C, 4)",46,11
53, 0.001, O ,"(B, 6)",45,13
54, 0.002, X ,"(B, 7)",51,8
55, 0.000, O ,"(A, 6)",48,12
56, 0.002, X ,"(A, 8)",51,10
57, 0.002, X ,"(G, 8)",57,5
58, 0.001, X ,"(A, 7)",60,3
59, 0.001, X ,"(G, 4)",62,2
