,Time,Color,Move,Black,White
0, 0.002, X ,"(E, 3)",4,1
1, 0.001, O ,"(F, 3)",3,3
2, 0.002, X ,"(G, 3)",5,2
3, 0.001, O ,"(E, 2)",4,4
4, 0.001, X ,"(D, 1)",6,3
5, 0.000, O ,"(C, 5)",5,5
6, 0.002, X ,"(C, 3)",7,4
7, 0.000, O ,"(G, 2)",6,6
8, 0.003, X ,"(F, 2)",8,5
9, 0.001, O ,"(C, 4)",7,7
10, 0.002, X ,"(F, 4)",9,6
11, 0.001, O ,"(E, 1)",7,9
12, 0.003, X ,"(H, 1)",9,8
13, 0.001, O ,"(C, 2)",8,10
14, 0.002, X ,"(F, 1)",10,9
15, 0.001, O ,"(G, 1)",9,11
16, 0.001, X ,"(B, 3)",11,10
17, 0.001, O ,"(A, 3)",10,12
18, 0.001, X ,"(A, 4)",12,11
19, 0.000, O ,"(G, 4)",8,16
20, 0.004, X ,"(H, 3)",10,15
21, 0.001, O ,"(D, 6)",9,17
22, 0.002, X ,"(D, 2)",12,15
23, 0.001, O ,"(C, 1)",7,21
24, 0.002, X ,"(H, 4)",9,20
25, 0.001, O ,"(A, 5)",8,22
26, 0.002, X ,"(G, 5)",10,21
27, 0.001, O ,"(D, 3)",9,23
28, 0.002, X ,"(F, 5)",12,21
29, 0.000, O ,"(F, 6)",8,26
30, 0.001, X ,"(E, 7)",10,25
31, 0.000, O ,"(F, 7)",9,27
32, 0.004, X ,"(C, 6)",13,24
33, 0.001, O ,"(H, 6)",12,26
34, 0.002, X ,"(B, 5)",14,25
35, 0.000, O ,"(C, 7)",12,28
36, 0.002, X ,"(E, 6)",15,26
37, 0.001, O ,"(A, 6)",14,28
38, 0.002, X ,"(H, 5)",16,27
39, 0.000, O ,"(G, 6)",10,34
40, 0.002, X ,"(D, 7)",12,33
41, 0.000, O ,"(E, 8)",8,38
42, 0.002, X ,"(B, 6)",10,37
43, 0.000, O ,"(B, 7)",7,41
44, 0.001, X ,"(A, 8)",12,37
45, 0.000, O ,"(A, 2)",11,39
46, 0.003, X ,"(B, 4)",17,34
47, 0.000, O ,"(C, 8)",16,36
48, 0.002, X ,"(D, 8)",22,31
49, 0.000, O ,"(A, 7)",19,35
50, 0.004, X ,"(A, 1)",26,29
51, 0.000, O ,"(B, 8)",24,32
52, 0.001, X ,"(B, 1)",32,25
53, 0.000, O ,"(H, 2)",29,29
54, 0.001, X ,"(B, 2)",34,25
55, 0.001, O ,"(F, 8)",33,27
56, 0.001, X ,"(H, 7)",41,20
57, 0.000, O ,"(G, 7)",39,23
58, 0.003, X ,"(H, 8)",41,22
59, 0.000, O ,"(G, 8)",40,24
