,Time,Color,Move,Black,White
0, 0.000, X ,"(E, 3)",4,1
1, 0.065, O ,"(D, 3)",3,3
2, 0.001, X ,"(C, 3)",6,1
3, 0.119, O ,"(F, 5)",5,3
4, 0.000, X ,"(G, 6)",7,2
5, 0.260, O ,"(F, 3)",6,4
6, 0.000, X ,"(F, 4)",8,3
7, 0.602, O ,"(D, 2)",6,6
8, 0.000, X ,"(C, 5)",10,3
9, 0.515, O ,"(B, 3)",9,5
10, 0.001, X ,"(A, 3)",13,2
11, 0.429, O ,"(B, 4)",12,4
12, 0.000, X ,"(G, 3)",14,3
13, 0.426, O ,"(F, 6)",12,6
14, 0.001, X ,"(C, 4)",14,5
15, 2.192, O ,"(E, 2)",12,8
16, 0.000, X ,"(F, 2)",14,7
17, 3.734, O ,"(C, 2)",13,9
18, 0.001, X ,"(B, 1)",17,6
19, 3.498, O ,"(C, 1)",16,8
20, 0.000, X ,"(A, 4)",18,7
21, 2.024, O ,"(A, 1)",17,9
22, 0.001, X ,"(E, 1)",21,6
23, 0.937, O ,"(B, 2)",19,9
24, 0.000, X ,"(D, 1)",21,8
25, 1.357, O ,"(A, 5)",20,10
26, 0.001, X ,"(E, 6)",23,8
27, 0.956, O ,"(F, 1)",21,11
28, 0.000, X ,"(A, 2)",23,10
29, 1.252, O ,"(B, 6)",22,12
30, 0.000, X ,"(A, 6)",24,11
31, 1.312, O ,"(D, 6)",23,13
32, 0.001, X ,"(D, 7)",27,10
33, 1.003, O ,"(H, 3)",23,15
34, 0.000, X ,"(G, 2)",25,14
35, 1.009, O ,"(G, 4)",19,21
36, 0.000, X ,"(C, 7)",21,20
37, 1.259, O ,"(H, 1)",20,22
38, 0.000, X ,"(C, 6)",24,19
39, 0.887, O ,"(B, 5)",23,21
40, 0.001, X ,"(G, 5)",26,19
41, 0.943, O ,"(H, 6)",22,24
42, 0.001, X ,"(H, 4)",31,16
43, 0.431, O ,"(G, 1)",30,18
44, 0.000, X ,"(H, 2)",36,13
45, 0.226, O ,"(A, 7)",28,22
46, 0.000, X ,"(B, 7)",31,20
47, 0.212, O ,"(A, 8)",27,25
48, 0.000, X ,"(B, 8)",29,24
49, 0.138, O ,"(H, 7)",27,27
50, 0.000, X ,"(G, 7)",29,26
51, 0.165, O ,"(H, 8)",26,30
52, 0.000, X ,"(F, 7)",29,28
53, 0.068, O ,"(H, 5)",23,35
54, 0.000, X ,"(G, 8)",25,34
55, 0.021, O ,"(F, 8)",21,39
56, 0.000, X ,"(E, 8)",23,38
57, 0.002, O ,"(D, 8)",18,44
58, 0.000, X ,"(E, 7)",23,40
59, 0.001, O ,"(C, 8)",18,46
