,Time,Color,Move,Black,White
0, 0.000, X ,"(E, 3)",4,1
1, 0.026, O ,"(D, 3)",3,3
2, 0.002, X ,"(C, 5)",6,1
3, 0.037, O ,"(F, 3)",5,3
4, 0.001, X ,"(G, 2)",7,2
5, 0.072, O ,"(G, 3)",6,4
6, 0.000, X ,"(C, 2)",8,3
7, 0.090, O ,"(H, 1)",7,5
8, 0.001, X ,"(F, 2)",9,4
9, 0.070, O ,"(E, 1)",8,6
10, 0.000, X ,"(H, 3)",11,4
11, 0.057, O ,"(F, 4)",10,6
12, 0.001, X ,"(G, 5)",12,5
13, 0.090, O ,"(G, 4)",11,7
14, 0.001, X ,"(F, 5)",13,6
15, 0.098, O ,"(C, 3)",11,9
16, 0.000, X ,"(H, 2)",13,8
17, 0.196, O ,"(C, 1)",12,10
18, 0.000, X ,"(D, 2)",15,8
19, 0.143, O ,"(E, 2)",14,10
20, 0.000, X ,"(B, 2)",21,4
21, 0.078, O ,"(D, 1)",20,6
22, 0.000, X ,"(F, 1)",22,5
23, 0.106, O ,"(G, 1)",21,7
24, 0.079, O ,"(B, 4)",19,10
25, 0.001, X ,"(A, 3)",21,9
26, 0.143, O ,"(A, 1)",20,11
27, 0.001, X ,"(A, 2)",22,10
28, 0.113, O ,"(C, 4)",20,13
29, 0.000, X ,"(B, 3)",24,10
30, 0.078, O ,"(B, 5)",22,13
31, 0.000, X ,"(A, 5)",24,12
32, 0.098, O ,"(B, 1)",23,14
33, 0.060, O ,"(H, 5)",22,16
34, 0.000, X ,"(H, 4)",24,15
35, 0.085, O ,"(A, 6)",23,17
36, 0.001, X ,"(A, 7)",25,16
37, 0.062, O ,"(A, 4)",21,21
38, 0.000, X ,"(H, 6)",23,20
39, 0.047, O ,"(A, 8)",20,24
40, 0.000, X ,"(B, 6)",24,21
41, 0.027, O ,"(C, 7)",23,23
42, 0.000, X ,"(B, 7)",25,22
43, 0.042, O ,"(D, 6)",21,27
44, 0.000, X ,"(B, 8)",24,25
45, 0.035, O ,"(C, 6)",21,29
46, 0.000, X ,"(E, 6)",24,27
47, 0.018, O ,"(G, 6)",18,34
48, 0.000, X ,"(F, 7)",20,33
49, 0.022, O ,"(C, 8)",18,36
50, 0.000, X ,"(F, 6)",21,34
51, 0.017, O ,"(H, 7)",14,42
52, 0.000, X ,"(G, 7)",16,41
53, 0.014, O ,"(H, 8)",13,45
54, 0.000, X ,"(G, 8)",15,44
55, 0.007, O ,"(D, 7)",12,48
56, 0.000, X ,"(E, 7)",17,44
57, 0.002, O ,"(D, 8)",14,48
58, 0.000, X ,"(E, 8)",16,47
59, 0.000, O ,"(F, 8)",11,53
