,Time,Color,Move,Black,White
0, 0.003, X ,"(E, 3)",4,1
1, 0.000, O ,"(D, 3)",3,3
2, 0.002, X ,"(C, 2)",5,2
3, 0.001, O ,"(D, 2)",4,4
4, 0.001, X ,"(C, 1)",6,3
5, 0.000, O ,"(F, 5)",4,6
6, 0.007, X ,"(C, 3)",6,5
7, 0.001, O ,"(B, 2)",5,7
8, 0.003, X ,"(B, 3)",7,6
9, 0.001, O ,"(B, 1)",5,9
10, 0.002, X ,"(A, 1)",8,7
11, 0.000, O ,"(F, 2)",7,9
12, 0.007, X ,"(D, 1)",9,8
13, 0.001, O ,"(A, 3)",7,11
14, 0.003, X ,"(A, 4)",9,10
15, 0.001, O ,"(E, 1)",8,12
16, 0.002, X ,"(F, 1)",10,11
17, 0.001, O ,"(A, 5)",9,13
18, 0.002, X ,"(E, 2)",11,12
19, 0.000, O ,"(A, 2)",7,17
20, 0.005, X ,"(G, 3)",9,16
21, 0.000, O ,"(B, 4)",8,18
22, 0.002, X ,"(F, 3)",10,17
23, 0.001, O ,"(H, 3)",8,20
24, 0.004, X ,"(G, 4)",10,19
25, 0.000, O ,"(G, 1)",9,21
26, 0.002, X ,"(H, 1)",11,20
27, 0.001, O ,"(F, 4)",10,22
28, 0.002, X ,"(G, 2)",13,20
29, 0.000, O ,"(H, 2)",9,25
30, 0.004, X ,"(B, 5)",13,22
31, 0.001, O ,"(G, 5)",12,24
32, 0.002, X ,"(C, 5)",16,21
33, 0.000, O ,"(D, 6)",14,24
34, 0.007, X ,"(B, 6)",16,23
35, 0.000, O ,"(C, 7)",15,25
36, 0.003, X ,"(E, 7)",17,24
37, 0.000, O ,"(D, 7)",16,26
38, 0.003, X ,"(E, 6)",19,24
39, 0.000, O ,"(F, 6)",16,28
40, 0.003, X ,"(C, 6)",18,27
41, 0.000, O ,"(E, 8)",17,29
42, 0.006, X ,"(C, 8)",19,28
43, 0.000, O ,"(D, 8)",18,30
44, 0.004, X ,"(H, 6)",21,28
45, 0.000, O ,"(B, 7)",18,32
46, 0.002, X ,"(A, 8)",25,26
47, 0.000, O ,"(A, 7)",24,28
48, 0.001, X ,"(A, 6)",32,21
49, 0.001, O ,"(H, 4)",31,23
50, 0.002, X ,"(H, 5)",39,16
51, 0.000, O ,"(B, 8)",35,21
52, 0.001, X ,"(C, 4)",43,14
53, 0.001, O ,"(G, 6)",41,17
54, 0.001, X ,"(F, 7)",49,10
55, 0.000, O ,"(F, 8)",48,12
56, 0.000, X ,"(G, 8)",54,7
57, 0.000, O ,"(G, 7)",52,10
58, 0.001, X ,"(H, 8)",54,9
59, 0.000, O ,"(H, 7)",53,11
