,Time,Color,Move,Black,White
0, 0.055, X ,"(E, 3)",4,1
1, 0.000, O ,"(F, 5)",3,3
2, 0.207, X ,"(C, 6)",5,2
3, 0.001, O ,"(C, 5)",4,4
4, 0.388, X ,"(C, 4)",6,3
5, 0.001, O ,"(E, 2)",4,6
6, 0.278, X ,"(F, 2)",6,5
7, 0.002, O ,"(C, 3)",5,7
8, 0.605, X ,"(C, 2)",7,6
9, 0.001, O ,"(B, 3)",6,8
10, 0.806, X ,"(E, 1)",8,7
11, 0.001, O ,"(C, 7)",6,10
12, 0.430, X ,"(A, 3)",8,9
13, 0.001, O ,"(A, 2)",7,11
14, 0.384, X ,"(A, 1)",9,10
15, 0.001, O ,"(C, 1)",7,13
16, 0.202, X ,"(D, 3)",10,11
17, 0.001, O ,"(G, 1)",8,14
18, 1.039, X ,"(B, 1)",10,13
19, 0.001, O ,"(B, 2)",9,15
20, 0.636, X ,"(D, 1)",11,14
21, 0.001, O ,"(B, 4)",10,16
22, 0.653, X ,"(A, 4)",12,15
23, 0.000, O ,"(F, 1)",10,18
24, 0.631, X ,"(H, 1)",13,16
25, 0.000, O ,"(D, 2)",12,18
26, 0.593, X ,"(A, 5)",16,15
27, 0.000, O ,"(B, 5)",14,18
28, 0.569, X ,"(G, 2)",17,16
29, 0.000, O ,"(H, 2)",13,21
30, 0.413, X ,"(D, 7)",16,19
31, 0.000, O ,"(B, 7)",15,21
32, 1.244, X ,"(C, 8)",20,17
33, 0.000, O ,"(B, 6)",18,20
34, 0.915, X ,"(A, 8)",20,19
35, 0.000, O ,"(B, 8)",19,21
36, 0.657, X ,"(G, 3)",22,19
37, 0.000, O ,"(D, 8)",20,22
38, 0.459, X ,"(H, 3)",22,21
39, 0.000, O ,"(E, 7)",21,23
40, 0.302, X ,"(D, 6)",28,17
41, 0.000, O ,"(E, 6)",24,22
42, 0.309, X ,"(F, 4)",27,20
43, 0.000, O ,"(F, 3)",22,26
44, 0.113, X ,"(A, 7)",24,25
45, 0.000, O ,"(A, 6)",23,27
46, 0.104, X ,"(F, 7)",32,19
47, 0.000, O ,"(F, 8)",31,21
48, 0.060, X ,"(E, 8)",36,17
49, 0.001, O ,"(F, 6)",34,20
50, 0.052, X ,"(G, 6)",40,15
51, 0.001, O ,"(G, 5)",39,17
52, 0.044, X ,"(H, 6)",43,14
53, 0.001, O ,"(G, 8)",42,16
54, 0.016, X ,"(H, 8)",45,14
55, 0.000, O ,"(H, 5)",43,17
56, 0.006, X ,"(G, 4)",48,13
57, 0.000, O ,"(H, 7)",47,15
58, 0.001, X ,"(H, 4)",53,10
59, 0.000, O ,"(G, 7)",52,12
