,Time,Color,Move,Black,White
0, 0.001, X ,"(F, 4)",4,1
1, 0.100, O ,"(D, 3)",3,3
2, 0.001, X ,"(C, 3)",5,2
3, 0.144, O ,"(B, 3)",4,4
4, 0.000, X ,"(C, 2)",6,3
5, 1.005, O ,"(C, 1)",5,5
6, 0.000, X ,"(B, 1)",7,4
7, 0.659, O ,"(A, 1)",6,6
8, 0.001, X ,"(A, 3)",9,4
9, 0.283, O ,"(D, 2)",7,7
10, 0.001, X ,"(C, 5)",9,6
11, 0.748, O ,"(B, 4)",8,8
12, 0.001, X ,"(D, 1)",12,5
13, 0.532, O ,"(B, 2)",11,7
14, 0.001, X ,"(A, 2)",13,6
15, 0.592, O ,"(E, 3)",11,9
16, 0.001, X ,"(E, 2)",14,7
17, 0.872, O ,"(F, 1)",13,9
18, 0.001, X ,"(E, 1)",15,8
19, 0.805, O ,"(F, 3)",14,10
20, 0.001, X ,"(G, 2)",16,9
21, 1.176, O ,"(F, 5)",15,11
22, 0.001, X ,"(A, 4)",17,10
23, 2.557, O ,"(H, 1)",15,13
24, 0.001, X ,"(F, 6)",17,12
25, 1.783, O ,"(C, 4)",16,14
26, 0.000, X ,"(G, 1)",18,13
27, 1.540, O ,"(G, 4)",17,15
28, 0.001, X ,"(H, 3)",20,13
29, 1.036, O ,"(H, 4)",19,15
30, 0.000, X ,"(G, 3)",25,10
31, 1.407, O ,"(H, 2)",24,12
32, 0.000, X ,"(A, 5)",26,11
33, 0.727, O ,"(B, 6)",25,13
34, 0.000, X ,"(H, 5)",27,12
35, 0.878, O ,"(A, 6)",23,17
36, 0.000, X ,"(A, 7)",27,14
37, 0.355, O ,"(G, 6)",26,16
38, 0.000, X ,"(F, 7)",28,15
39, 0.811, O ,"(E, 6)",26,18
40, 0.000, X ,"(B, 5)",28,17
41, 1.137, O ,"(D, 6)",26,20
42, 0.001, X ,"(E, 7)",30,17
43, 0.628, O ,"(D, 7)",29,19
44, 0.001, X ,"(C, 7)",32,17
45, 0.716, O ,"(F, 2)",22,28
46, 0.001, X ,"(C, 6)",25,26
47, 0.302, O ,"(H, 6)",22,30
48, 0.000, X ,"(H, 7)",25,28
49, 0.216, O ,"(B, 7)",20,34
50, 0.000, X ,"(G, 7)",22,33
51, 0.106, O ,"(G, 5)",19,37
52, 0.000, X ,"(B, 8)",24,33
53, 0.036, O ,"(H, 8)",21,37
54, 0.000, X ,"(G, 8)",23,36
55, 0.011, O ,"(F, 8)",16,44
56, 0.000, X ,"(E, 8)",24,37
57, 0.001, O ,"(A, 8)",22,40
58, 0.002, O ,"(D, 8)",17,46
59, 0.000, X ,"(C, 8)",22,42
