,Time,Color,Move,Black,White
0, 0.001, X ,"(E, 3)",4,1
1, 0.581, O ,"(F, 5)",3,3
2, 0.001, X ,"(C, 6)",5,2
3, 1.755, O ,"(D, 3)",4,4
4, 0.001, X ,"(C, 3)",6,3
5, 4.045, O ,"(C, 2)",5,5
6, 0.000, X ,"(F, 6)",7,4
7, 11.002, O ,"(E, 2)",6,6
8, 0.000, X ,"(F, 2)",8,5
9, 12.842, O ,"(B, 3)",7,7
10, 0.001, X ,"(F, 3)",9,6
11, 17.719, O ,"(G, 3)",7,9
12, 0.000, X ,"(G, 2)",9,8
13, 25.391, O ,"(G, 4)",8,10
14, 0.000, X ,"(F, 4)",11,8
15, 33.976, O ,"(E, 1)",10,10
16, 0.001, X ,"(B, 2)",12,9
17, 44.222, O ,"(C, 4)",8,14
18, 0.001, X ,"(B, 1)",12,11
19, 36.723, O ,"(E, 6)",8,16
20, 0.000, X ,"(D, 1)",10,15
21, 37.534, O ,"(A, 1)",9,17
22, 0.000, X ,"(G, 6)",12,15
23, 43.360, O ,"(H, 1)",9,19
24, 0.000, X ,"(A, 3)",12,17
25, 28.748, O ,"(A, 2)",11,19
26, 0.000, X ,"(D, 6)",15,16
27, 47.589, O ,"(A, 4)",14,18
28, 0.000, X ,"(F, 1)",19,14
29, 28.198, O ,"(G, 5)",17,17
30, 0.000, X ,"(B, 4)",21,14
31, 16.002, O ,"(G, 1)",20,16
32, 0.000, X ,"(H, 5)",25,12
33, 10.773, O ,"(H, 4)",24,14
34, 0.000, X ,"(D, 2)",27,12
35, 6.161, O ,"(H, 6)",26,14
36, 0.000, X ,"(H, 3)",30,11
37, 2.713, O ,"(C, 1)",21,21
38, 0.000, X ,"(H, 7)",25,18
39, 2.994, O ,"(C, 7)",23,21
40, 0.000, X ,"(B, 8)",28,17
41, 1.802, O ,"(B, 5)",23,23
42, 0.000, X ,"(A, 5)",25,22
43, 1.808, O ,"(A, 6)",24,24
44, 0.000, X ,"(B, 6)",26,23
45, 1.210, O ,"(H, 2)",25,25
46, 0.000, X ,"(C, 5)",27,24
47, 0.874, O ,"(A, 7)",24,28
48, 0.000, X ,"(B, 7)",26,27
49, 0.631, O ,"(F, 7)",19,35
50, 0.000, X ,"(G, 7)",21,34
51, 0.580, O ,"(A, 8)",19,37
52, 0.000, X ,"(E, 7)",22,35
53, 0.259, O ,"(C, 8)",20,38
54, 0.000, X ,"(D, 7)",22,37
55, 0.028, O ,"(H, 8)",14,46
56, 0.000, X ,"(D, 8)",16,45
57, 0.002, O ,"(E, 8)",8,54
58, 0.000, X ,"(F, 8)",10,53
59, 0.000, O ,"(G, 8)",9,55
