,Time,Color,Move,Black,White
0, 0.022, X ,"(E, 3)",4,1
1, 0.000, O ,"(F, 3)",3,3
2, 0.043, X ,"(F, 4)",5,2
3, 0.001, O ,"(D, 3)",3,5
4, 0.089, X ,"(C, 2)",5,4
5, 0.001, O ,"(G, 4)",3,7
6, 0.070, X ,"(C, 3)",5,6
7, 0.001, O ,"(B, 3)",3,9
8, 0.184, X ,"(D, 2)",5,8
9, 0.000, O ,"(C, 1)",3,11
10, 0.139, X ,"(D, 1)",5,10
11, 0.000, O ,"(E, 1)",3,13
12, 0.124, X ,"(F, 2)",5,12
13, 0.000, O ,"(F, 5)",4,14
14, 0.120, X ,"(G, 3)",6,13
15, 0.001, O ,"(E, 2)",4,16
16, 0.173, X ,"(F, 1)",6,15
17, 0.000, O ,"(C, 5)",5,17
18, 0.152, X ,"(H, 5)",8,15
19, 0.000, O ,"(H, 2)",7,17
20, 0.161, X ,"(H, 3)",9,16
21, 0.000, O ,"(G, 2)",6,20
22, 0.090, X ,"(H, 1)",8,19
23, 0.000, O ,"(H, 4)",6,22
24, 0.093, X ,"(G, 6)",9,20
25, 0.001, O ,"(C, 4)",8,22
26, 0.089, X ,"(B, 4)",11,20
27, 0.000, O ,"(G, 1)",10,22
28, 0.145, X ,"(B, 6)",12,21
29, 0.001, O ,"(A, 4)",8,26
30, 0.062, X ,"(D, 6)",12,23
31, 0.001, O ,"(C, 6)",11,25
32, 0.078, X ,"(B, 5)",14,23
33, 0.001, O ,"(D, 7)",12,26
34, 0.138, X ,"(G, 5)",14,25
35, 0.000, O ,"(H, 6)",11,29
36, 0.113, X ,"(E, 7)",13,28
37, 0.000, O ,"(E, 6)",11,31
38, 0.130, X ,"(F, 6)",15,28
39, 0.000, O ,"(H, 7)",13,31
40, 0.182, X ,"(C, 7)",15,30
41, 0.000, O ,"(F, 7)",13,33
42, 0.068, X ,"(H, 8)",18,29
43, 0.001, O ,"(A, 7)",16,32
44, 0.078, X ,"(A, 5)",18,31
45, 0.000, O ,"(E, 8)",14,36
46, 0.055, X ,"(A, 3)",23,28
47, 0.001, O ,"(A, 2)",22,30
48, 0.058, X ,"(A, 1)",24,29
49, 0.000, O ,"(B, 7)",22,32
50, 0.031, X ,"(A, 8)",27,28
51, 0.000, O ,"(B, 2)",26,30
52, 0.026, X ,"(B, 1)",35,22
53, 0.000, O ,"(B, 8)",34,24
54, 0.009, X ,"(F, 8)",40,19
55, 0.000, O ,"(G, 8)",38,22
56, 0.004, X ,"(A, 6)",43,18
57, 0.000, O ,"(D, 8)",41,21
58, 0.001, X ,"(C, 8)",51,12
59, 0.000, X ,"(G, 7)",60,4
