,Time,Color,Move,Black,White
0, 0.201, X ,"(E, 3)",4,1
1, 0.000, O ,"(D, 3)",3,3
2, 0.469, X ,"(C, 4)",5,2
3, 0.001, O ,"(B, 5)",4,4
4, 1.075, X ,"(B, 4)",6,3
5, 0.001, O ,"(F, 5)",4,6
6, 1.975, X ,"(C, 3)",6,5
7, 0.000, O ,"(D, 2)",4,8
8, 3.089, X ,"(C, 5)",6,7
9, 0.001, O ,"(E, 2)",5,9
10, 5.326, X ,"(E, 1)",7,8
11, 0.000, O ,"(B, 2)",5,11
12, 2.808, X ,"(C, 2)",7,10
13, 0.000, O ,"(B, 3)",4,14
14, 3.402, X ,"(A, 5)",8,11
15, 0.001, O ,"(B, 1)",7,13
16, 3.252, X ,"(A, 1)",9,12
17, 0.001, O ,"(B, 6)",6,16
18, 2.631, X ,"(C, 1)",9,14
19, 0.001, O ,"(A, 2)",6,18
20, 1.555, X ,"(C, 7)",8,17
21, 0.001, O ,"(B, 7)",7,19
22, 2.314, X ,"(C, 6)",10,17
23, 0.000, O ,"(D, 7)",8,20
24, 4.183, X ,"(A, 6)",10,19
25, 0.000, O ,"(A, 4)",9,21
26, 4.184, X ,"(D, 6)",12,19
27, 0.000, O ,"(E, 7)",10,22
28, 3.245, X ,"(F, 1)",13,20
29, 0.001, O ,"(A, 7)",10,24
30, 1.597, X ,"(D, 1)",12,23
31, 0.000, O ,"(F, 2)",10,26
32, 1.876, X ,"(G, 3)",12,25
33, 0.000, O ,"(G, 1)",11,27
34, 1.998, X ,"(H, 1)",13,26
35, 0.000, O ,"(H, 4)",12,28
36, 0.909, X ,"(F, 4)",17,24
37, 0.000, O ,"(G, 4)",13,29
38, 1.769, X ,"(G, 5)",15,28
39, 0.000, O ,"(H, 5)",14,30
40, 1.609, X ,"(H, 2)",16,29
41, 0.000, O ,"(G, 2)",15,31
42, 1.006, X ,"(H, 3)",17,30
43, 0.000, O ,"(F, 3)",13,35
44, 0.518, X ,"(H, 6)",19,30
45, 0.000, O ,"(G, 6)",18,32
46, 0.428, X ,"(G, 7)",23,28
47, 0.000, O ,"(H, 7)",22,30
48, 0.382, X ,"(A, 3)",28,25
49, 0.000, O ,"(G, 8)",27,27
50, 0.300, X ,"(E, 6)",34,21
51, 0.000, O ,"(F, 6)",28,28
52, 0.098, X ,"(A, 8)",35,22
53, 0.000, O ,"(B, 8)",34,24
54, 0.048, X ,"(H, 8)",40,19
55, 0.000, O ,"(F, 7)",39,21
56, 0.006, X ,"(E, 8)",45,16
57, 0.000, O ,"(D, 8)",43,19
58, 0.000, X ,"(F, 8)",49,14
59, 0.001, X ,"(C, 8)",55,9
