,Time,Color,Move,Black,White
0, 0.001, X ,"(D, 6)",4,1
1, 0.005, O ,"(C, 4)",3,3
2, 0.000, X ,"(C, 3)",5,2
3, 0.009, O ,"(C, 2)",4,4
4, 0.001, X ,"(B, 4)",6,3
5, 0.012, O ,"(A, 5)",5,5
6, 0.001, X ,"(C, 1)",8,3
7, 0.005, O ,"(D, 2)",7,5
8, 0.001, X ,"(B, 2)",9,4
9, 0.007, O ,"(C, 6)",8,6
10, 0.001, X ,"(F, 4)",10,5
11, 0.015, O ,"(B, 3)",9,7
12, 0.001, X ,"(B, 7)",12,5
13, 0.012, O ,"(D, 1)",11,7
14, 0.000, X ,"(B, 5)",14,5
15, 0.013, O ,"(C, 5)",13,7
16, 0.000, X ,"(B, 6)",16,5
17, 0.012, O ,"(A, 6)",15,7
18, 0.000, X ,"(A, 4)",17,6
19, 0.014, O ,"(A, 3)",16,8
20, 0.000, X ,"(D, 3)",18,7
21, 0.016, O ,"(E, 2)",15,11
22, 0.000, X ,"(B, 1)",18,9
23, 0.018, O ,"(A, 1)",16,12
24, 0.000, X ,"(F, 1)",18,11
25, 0.015, O ,"(F, 2)",17,13
26, 0.001, X ,"(G, 2)",21,10
27, 0.016, O ,"(E, 3)",17,15
28, 0.000, X ,"(A, 2)",20,13
29, 0.019, O ,"(F, 3)",19,15
30, 0.001, X ,"(G, 3)",24,11
31, 0.014, O ,"(G, 5)",22,14
32, 0.000, X ,"(G, 4)",24,13
33, 0.020, O ,"(H, 3)",22,16
34, 0.000, X ,"(H, 4)",24,15
35, 0.022, O ,"(H, 1)",23,17
36, 0.000, X ,"(H, 2)",26,15
37, 0.015, O ,"(A, 8)",22,20
38, 0.000, X ,"(B, 8)",24,19
39, 0.015, O ,"(C, 7)",23,21
40, 0.000, X ,"(E, 1)",28,17
41, 0.013, O ,"(E, 6)",27,19
42, 0.000, X ,"(A, 7)",33,14
43, 0.008, O ,"(C, 8)",32,16
44, 0.000, X ,"(F, 6)",37,12
45, 0.005, O ,"(F, 5)",32,18
46, 0.000, X ,"(D, 8)",34,17
47, 0.005, O ,"(E, 8)",33,19
48, 0.004, O ,"(G, 1)",31,22
49, 0.006, O ,"(H, 5)",26,28
50, 0.000, X ,"(G, 6)",29,26
51, 0.004, O ,"(H, 6)",28,28
52, 0.004, O ,"(H, 7)",27,30
53, 0.000, X ,"(G, 7)",30,28
54, 0.005, O ,"(H, 8)",28,31
55, 0.000, X ,"(G, 8)",30,30
56, 0.003, O ,"(F, 7)",27,34
57, 0.000, X ,"(F, 8)",33,29
58, 0.001, O ,"(E, 7)",30,33
59, 0.000, X ,"(D, 7)",32,32
