,Time,Color,Move,Black,White
0, 0.001, X ,"(D, 6)",4,1
1, 0.002, O ,"(C, 4)",3,3
2, 0.001, X ,"(D, 3)",5,2
3, 0.002, O ,"(C, 2)",4,4
4, 0.001, X ,"(B, 3)",6,3
5, 0.002, O ,"(A, 4)",5,5
6, 0.001, X ,"(F, 3)",7,4
7, 0.001, O ,"(B, 5)",6,6
8, 0.001, X ,"(D, 2)",8,5
9, 0.002, O ,"(E, 6)",7,7
10, 0.000, X ,"(C, 6)",9,6
11, 0.002, O ,"(D, 7)",8,8
12, 0.001, X ,"(B, 1)",10,7
13, 0.001, O ,"(E, 2)",9,9
14, 0.000, X ,"(E, 7)",11,8
15, 0.002, O ,"(G, 4)",10,10
16, 0.001, X ,"(G, 2)",12,9
17, 0.002, O ,"(H, 1)",8,14
18, 0.001, X ,"(D, 8)",10,13
19, 0.001, O ,"(F, 5)",9,15
20, 0.001, X ,"(B, 4)",11,14
21, 0.001, O ,"(C, 3)",10,16
22, 0.000, X ,"(H, 3)",13,14
23, 0.002, O ,"(C, 1)",12,16
24, 0.001, X ,"(F, 2)",14,15
25, 0.002, O ,"(A, 1)",13,17
26, 0.000, X ,"(A, 2)",15,16
27, 0.003, O ,"(E, 1)",14,18
28, 0.000, X ,"(B, 6)",17,16
29, 0.002, O ,"(D, 1)",16,18
30, 0.000, X ,"(E, 3)",21,14
31, 0.002, O ,"(F, 1)",20,16
32, 0.000, X ,"(G, 1)",22,15
33, 0.003, O ,"(B, 2)",21,17
34, 0.000, X ,"(F, 4)",23,16
35, 0.002, O ,"(A, 5)",22,18
36, 0.001, X ,"(C, 5)",25,16
37, 0.002, O ,"(A, 3)",23,19
38, 0.000, X ,"(H, 2)",25,18
39, 0.002, O ,"(H, 5)",23,21
40, 0.000, X ,"(G, 3)",25,20
41, 0.002, O ,"(A, 6)",22,24
42, 0.000, X ,"(H, 4)",24,23
43, 0.001, O ,"(G, 6)",22,26
44, 0.000, X ,"(F, 6)",24,25
45, 0.002, O ,"(F, 7)",17,33
46, 0.001, X ,"(H, 6)",22,29
47, 0.002, O ,"(C, 7)",15,37
48, 0.000, X ,"(G, 8)",17,36
49, 0.001, O ,"(F, 8)",15,39
50, 0.000, X ,"(G, 7)",18,37
51, 0.002, O ,"(H, 8)",13,43
52, 0.000, X ,"(A, 7)",17,40
53, 0.001, O ,"(A, 8)",16,42
54, 0.000, X ,"(E, 8)",19,40
55, 0.001, O ,"(H, 7)",13,47
56, 0.000, X ,"(B, 7)",20,41
57, 0.001, O ,"(C, 8)",12,50
58, 0.000, X ,"(G, 5)",17,46
59, 0.000, X ,"(B, 8)",21,43
