,Time,Color,Move,Black,White
0, 0.582, X ,"(E, 3)",4,1
1, 0.001, O ,"(D, 3)",3,3
2, 1.307, X ,"(C, 4)",5,2
3, 0.001, O ,"(B, 5)",4,4
4, 3.407, X ,"(B, 4)",6,3
5, 0.000, O ,"(B, 3)",4,6
6, 4.142, X ,"(C, 2)",6,5
7, 0.000, O ,"(D, 1)",5,7
8, 3.247, X ,"(D, 6)",7,6
9, 0.000, O ,"(E, 6)",6,8
10, 7.173, X ,"(C, 5)",8,7
11, 0.001, O ,"(E, 2)",4,12
12, 15.161, X ,"(F, 5)",6,11
13, 0.001, O ,"(G, 4)",5,13
14, 14.507, X ,"(A, 3)",7,12
15, 0.001, O ,"(D, 7)",4,16
16, 11.010, X ,"(G, 5)",6,15
17, 0.001, O ,"(F, 4)",5,17
18, 32.449, X ,"(F, 3)",7,16
19, 0.000, O ,"(H, 6)",5,19
20, 32.047, X ,"(E, 7)",7,18
21, 0.001, O ,"(C, 7)",6,20
22, 55.738, X ,"(F, 2)",9,18
23, 0.000, O ,"(C, 3)",8,20
24, 71.870, X ,"(B, 6)",10,19
25, 0.000, O ,"(A, 7)",8,22
26, 49.100, X ,"(C, 6)",11,20
27, 0.000, O ,"(G, 1)",9,23
28, 64.467, X ,"(A, 6)",11,22
29, 0.000, O ,"(F, 8)",10,24
30, 34.057, X ,"(E, 1)",13,22
31, 0.000, O ,"(A, 5)",9,27
32, 23.166, X ,"(F, 1)",11,26
33, 0.001, O ,"(F, 6)",10,28
34, 8.261, X ,"(H, 1)",12,27
35, 0.000, O ,"(G, 3)",10,30
36, 6.544, X ,"(C, 8)",12,29
37, 0.000, O ,"(D, 8)",11,31
38, 7.002, X ,"(G, 2)",13,30
39, 0.000, O ,"(B, 8)",12,32
40, 2.286, X ,"(A, 4)",17,28
41, 0.000, O ,"(A, 2)",15,31
42, 2.081, X ,"(E, 8)",20,27
43, 0.000, O ,"(F, 7)",15,33
44, 2.727, X ,"(A, 8)",19,30
45, 0.000, O ,"(B, 7)",18,32
46, 2.034, X ,"(C, 1)",26,25
47, 0.000, O ,"(B, 2)",23,29
48, 1.376, X ,"(D, 2)",30,23
49, 0.000, O ,"(B, 1)",27,27
50, 0.482, X ,"(H, 2)",31,24
51, 0.000, O ,"(H, 3)",29,27
52, 0.126, X ,"(G, 8)",33,24
53, 0.000, O ,"(G, 7)",32,26
54, 0.036, X ,"(H, 8)",35,24
55, 0.001, O ,"(H, 7)",34,26
56, 0.006, X ,"(G, 6)",40,21
57, 0.000, O ,"(H, 4)",36,26
58, 0.000, X ,"(H, 5)",45,18
59, 0.000, X ,"(A, 1)",54,10
