,Time,Color,Move,Black,White
0, 0.001, X ,"(F, 4)",4,1
1, 0.025, O ,"(D, 3)",3,3
2, 0.000, X ,"(C, 5)",5,2
3, 0.057, O ,"(F, 5)",4,4
4, 0.001, X ,"(C, 3)",6,3
5, 0.099, O ,"(F, 3)",5,5
6, 0.001, X ,"(G, 2)",8,3
7, 0.086, O ,"(F, 2)",7,5
8, 0.000, X ,"(G, 4)",9,4
9, 0.164, O ,"(H, 1)",8,6
10, 0.000, X ,"(F, 1)",11,4
11, 0.125, O ,"(E, 2)",10,6
12, 0.001, X ,"(E, 6)",12,5
13, 0.105, O ,"(B, 3)",11,7
14, 0.000, X ,"(C, 2)",13,6
15, 0.098, O ,"(C, 1)",12,8
16, 0.001, X ,"(H, 3)",14,7
17, 0.113, O ,"(H, 2)",13,9
18, 0.001, X ,"(A, 3)",16,7
19, 0.064, O ,"(H, 4)",15,9
20, 0.000, X ,"(D, 1)",18,7
21, 0.069, O ,"(E, 1)",17,9
22, 0.000, X ,"(B, 1)",21,6
23, 0.046, O ,"(D, 2)",20,8
24, 0.000, X ,"(E, 3)",23,6
25, 0.077, O ,"(F, 6)",20,10
26, 0.000, X ,"(G, 5)",23,8
27, 0.102, O ,"(D, 6)",22,10
28, 0.000, X ,"(D, 7)",25,8
29, 0.082, O ,"(H, 5)",24,10
30, 0.000, X ,"(G, 3)",28,7
31, 0.089, O ,"(G, 6)",25,11
32, 0.001, X ,"(H, 7)",27,10
33, 0.099, O ,"(H, 6)",26,12
34, 0.001, X ,"(G, 7)",28,11
35, 0.083, O ,"(H, 8)",27,13
36, 0.000, X ,"(G, 1)",33,8
37, 0.050, O ,"(A, 1)",27,15
38, 0.088, O ,"(A, 4)",25,18
39, 0.000, X ,"(A, 5)",27,17
40, 0.109, O ,"(B, 4)",25,20
41, 0.000, X ,"(C, 4)",27,19
42, 0.071, O ,"(B, 6)",23,24
43, 0.000, X ,"(B, 2)",29,19
44, 0.087, O ,"(A, 2)",25,24
45, 0.000, X ,"(C, 7)",27,23
46, 0.062, O ,"(G, 8)",21,30
47, 0.000, X ,"(B, 5)",23,29
48, 0.035, O ,"(C, 6)",14,39
49, 0.000, X ,"(E, 7)",18,36
50, 0.036, O ,"(A, 6)",13,42
51, 0.000, X ,"(A, 7)",15,41
52, 0.023, O ,"(A, 8)",14,43
53, 0.000, X ,"(F, 7)",16,42
54, 0.017, O ,"(F, 8)",8,51
55, 0.000, X ,"(E, 8)",10,50
56, 0.006, O ,"(B, 8)",9,52
57, 0.000, X ,"(B, 7)",11,51
58, 0.000, O ,"(C, 8)",7,56
59, 0.000, X ,"(D, 8)",12,52
