,Time,Color,Move,Black,White
0, 2.704, X ,"(E, 3)",4,1
1, 0.001, O ,"(F, 5)",3,3
2, 9.115, X ,"(E, 6)",5,2
3, 0.001, O ,"(F, 7)",4,4
4, 16.407, X ,"(C, 5)",6,3
5, 0.001, O ,"(C, 4)",5,5
6, 43.254, X ,"(C, 6)",7,4
7, 0.001, O ,"(F, 4)",5,7
8, 127.683, X ,"(B, 3)",7,6
9, 0.001, O ,"(D, 6)",5,9
10, 133.960, X ,"(F, 3)",8,7
11, 0.001, O ,"(E, 2)",6,10
12, 311.803, X ,"(D, 1)",8,9
13, 0.001, O ,"(B, 4)",6,12
14, 321.247, X ,"(C, 3)",9,10
15, 0.001, O ,"(B, 5)",7,13
16, 450.253, X ,"(D, 3)",9,12
17, 0.001, O ,"(F, 1)",6,16
18, 419.579, X ,"(E, 1)",8,15
19, 0.001, O ,"(D, 2)",6,18
20, 503.934, X ,"(C, 2)",11,14
21, 0.001, O ,"(B, 1)",10,16
22, 822.908, X ,"(C, 1)",12,15
23, 0.000, O ,"(F, 2)",11,17
24, 446.903, X ,"(A, 3)",13,16
25, 0.001, O ,"(B, 7)",12,18
26, 255.759, X ,"(A, 1)",14,17
27, 0.000, O ,"(A, 4)",12,20
28, 165.784, X ,"(C, 7)",14,19
29, 0.000, O ,"(A, 2)",12,22
30, 187.418, X ,"(A, 8)",14,21
31, 0.000, O ,"(B, 2)",10,26
32, 128.044, X ,"(G, 4)",13,24
33, 0.000, O ,"(B, 8)",12,26
34, 185.723, X ,"(G, 3)",14,25
35, 0.000, O ,"(G, 1)",13,27
36, 141.118, X ,"(H, 1)",16,25
37, 0.000, O ,"(B, 6)",13,29
38, 52.223, X ,"(G, 2)",15,28
39, 0.000, O ,"(H, 2)",11,33
40, 26.582, X ,"(H, 4)",14,31
41, 0.000, O ,"(H, 3)",11,35
42, 8.842, X ,"(G, 5)",18,29
43, 0.000, O ,"(H, 5)",15,33
44, 2.783, X ,"(H, 6)",21,28
45, 0.000, O ,"(G, 6)",20,30
46, 3.707, X ,"(G, 7)",24,27
47, 0.001, O ,"(H, 7)",22,30
48, 2.017, X ,"(F, 8)",24,29
49, 0.000, O ,"(G, 8)",23,31
50, 1.173, X ,"(F, 6)",31,24
51, 0.000, O ,"(E, 7)",30,26
52, 0.354, X ,"(A, 5)",38,19
53, 0.000, O ,"(A, 6)",37,21
54, 0.056, X ,"(A, 7)",40,19
55, 0.000, O ,"(E, 8)",39,21
56, 0.004, X ,"(D, 7)",46,15
57, 0.000, O ,"(C, 8)",43,19
58, 0.000, X ,"(H, 8)",46,17
59, 0.000, O ,"(D, 8)",42,22
