,Time,Color,Move,Black,White
0, 0.000, X ,"(F, 4)",4,1
1, 0.120, O ,"(D, 3)",3,3
2, 0.001, X ,"(C, 5)",5,2
3, 0.346, O ,"(F, 5)",4,4
4, 0.000, X ,"(F, 6)",6,3
5, 0.736, O ,"(G, 4)",5,5
6, 0.001, X ,"(H, 3)",7,4
7, 0.992, O ,"(H, 4)",6,6
8, 0.001, X ,"(C, 3)",8,5
9, 0.911, O ,"(B, 3)",7,7
10, 0.001, X ,"(H, 5)",9,6
11, 0.875, O ,"(C, 4)",8,8
12, 0.000, X ,"(F, 3)",12,5
13, 0.868, O ,"(B, 6)",11,7
14, 0.000, X ,"(A, 2)",14,5
15, 1.156, O ,"(B, 4)",13,7
16, 0.000, X ,"(D, 2)",16,5
17, 1.056, O ,"(A, 3)",15,7
18, 0.001, X ,"(B, 2)",17,6
19, 1.230, O ,"(C, 2)",16,8
20, 0.001, X ,"(B, 1)",18,7
21, 0.971, O ,"(D, 1)",17,9
22, 0.000, X ,"(A, 5)",20,7
23, 1.288, O ,"(A, 4)",19,9
24, 0.000, X ,"(C, 6)",22,7
25, 0.959, O ,"(E, 2)",21,9
26, 0.000, X ,"(C, 1)",23,8
27, 0.565, O ,"(A, 6)",22,10
28, 0.000, X ,"(E, 1)",25,8
29, 0.283, O ,"(B, 5)",23,11
30, 0.000, X ,"(B, 7)",28,7
31, 0.645, O ,"(G, 6)",26,10
32, 0.000, X ,"(H, 7)",31,6
33, 0.652, O ,"(E, 3)",28,10
34, 0.000, X ,"(F, 1)",32,7
35, 0.754, O ,"(E, 6)",28,12
36, 0.000, X ,"(D, 6)",32,9
37, 0.772, O ,"(F, 7)",30,12
38, 0.000, X ,"(D, 7)",32,11
39, 1.662, O ,"(A, 8)",30,14
40, 0.000, X ,"(E, 8)",32,13
41, 0.752, O ,"(H, 6)",28,18
42, 0.000, X ,"(B, 8)",30,17
43, 1.057, O ,"(A, 7)",27,21
44, 0.000, X ,"(C, 7)",33,16
45, 0.430, O ,"(H, 8)",32,18
46, 0.000, X ,"(G, 7)",34,17
47, 0.224, O ,"(E, 7)",26,26
48, 0.000, X ,"(D, 8)",32,21
49, 0.172, O ,"(C, 8)",30,24
50, 0.000, X ,"(F, 8)",32,23
51, 0.037, O ,"(G, 8)",28,28
52, 0.000, X ,"(F, 2)",30,27
53, 0.021, O ,"(A, 1)",24,34
54, 0.000, X ,"(G, 5)",26,33
55, 0.009, O ,"(G, 1)",19,41
56, 0.000, X ,"(G, 2)",21,40
57, 0.002, O ,"(H, 1)",19,43
58, 0.000, X ,"(H, 2)",21,42
59, 0.000, O ,"(G, 3)",16,48
