,Time,Color,Move,Black,White
0, 0.001, X ,"(E, 3)",4,1
1, 0.001, O ,"(F, 3)",3,3
2, 0.002, X ,"(G, 3)",5,2
3, 0.001, O ,"(F, 5)",4,4
4, 0.003, X ,"(F, 4)",6,3
5, 0.001, O ,"(E, 2)",4,6
6, 0.001, X ,"(D, 1)",6,5
7, 0.000, O ,"(H, 2)",4,8
8, 0.002, X ,"(F, 2)",6,7
9, 0.001, O ,"(G, 2)",5,9
10, 0.001, X ,"(H, 4)",7,8
11, 0.001, O ,"(D, 3)",5,11
12, 0.002, X ,"(C, 4)",7,10
13, 0.000, O ,"(G, 1)",6,12
14, 0.002, X ,"(E, 1)",8,11
15, 0.000, O ,"(C, 2)",7,13
16, 0.003, X ,"(B, 3)",9,12
17, 0.000, O ,"(F, 1)",7,15
18, 0.002, X ,"(D, 6)",10,13
19, 0.000, O ,"(E, 6)",9,15
20, 0.002, X ,"(G, 4)",12,13
21, 0.001, O ,"(B, 1)",11,15
22, 0.002, X ,"(C, 3)",14,13
23, 0.001, O ,"(C, 1)",12,16
24, 0.002, X ,"(C, 5)",14,15
25, 0.000, O ,"(C, 7)",13,17
26, 0.002, X ,"(C, 6)",16,15
27, 0.000, O ,"(B, 5)",11,21
28, 0.002, X ,"(D, 2)",13,20
29, 0.000, O ,"(D, 7)",12,22
30, 0.002, X ,"(B, 4)",14,21
31, 0.000, O ,"(A, 4)",13,23
32, 0.002, X ,"(A, 3)",15,22
33, 0.001, O ,"(A, 2)",12,26
34, 0.002, X ,"(G, 6)",14,25
35, 0.001, O ,"(H, 5)",12,28
36, 0.003, X ,"(H, 3)",14,27
37, 0.000, O ,"(F, 6)",12,30
38, 0.002, X ,"(G, 5)",14,29
39, 0.000, O ,"(A, 5)",11,33
40, 0.003, X ,"(H, 6)",13,32
41, 0.000, O ,"(H, 7)",8,38
42, 0.002, X ,"(B, 6)",10,37
43, 0.000, O ,"(A, 6)",9,39
44, 0.002, X ,"(F, 7)",12,37
45, 0.000, O ,"(F, 8)",8,42
46, 0.002, X ,"(C, 8)",14,37
47, 0.001, O ,"(E, 7)",13,39
48, 0.002, X ,"(E, 8)",17,36
49, 0.000, O ,"(D, 8)",13,41
50, 0.001, X ,"(H, 1)",16,39
51, 0.000, O ,"(B, 8)",15,41
52, 0.000, X ,"(H, 8)",22,35
53, 0.000, O ,"(B, 7)",21,37
54, 0.001, X ,"(A, 1)",28,31
55, 0.000, X ,"(A, 8)",32,28
56, 0.000, O ,"(A, 7)",31,30
57, 0.000, X ,"(G, 8)",38,24
58, 0.000, O ,"(G, 7)",37,26
59, 0.001, X ,"(B, 2)",48,16
