,Time,Color,Move,Black,White
0, 0.000, X ,"(F, 4)",4,1
1, 0.065, O ,"(D, 3)",3,3
2, 0.002, X ,"(C, 2)",5,2
3, 0.226, O ,"(D, 2)",4,4
4, 0.000, X ,"(C, 3)",6,3
5, 0.320, O ,"(B, 3)",5,5
6, 0.001, X ,"(D, 1)",8,3
7, 0.342, O ,"(C, 1)",7,5
8, 0.002, X ,"(B, 4)",9,4
9, 0.455, O ,"(E, 1)",8,6
10, 0.001, X ,"(A, 3)",10,5
11, 0.321, O ,"(E, 2)",9,7
12, 0.001, X ,"(C, 5)",11,6
13, 0.251, O ,"(A, 4)",10,8
14, 0.001, X ,"(A, 5)",12,7
15, 0.418, O ,"(E, 3)",10,10
16, 0.000, X ,"(B, 2)",13,8
17, 0.304, O ,"(C, 4)",12,10
18, 0.001, X ,"(F, 2)",17,6
19, 0.647, O ,"(B, 1)",16,8
20, 0.000, X ,"(B, 5)",19,6
21, 0.667, O ,"(A, 1)",18,8
22, 0.000, X ,"(A, 2)",21,6
23, 0.403, O ,"(G, 3)",20,8
24, 0.001, X ,"(H, 2)",22,7
25, 0.627, O ,"(A, 6)",18,12
26, 0.000, X ,"(G, 1)",20,11
27, 0.528, O ,"(B, 6)",16,16
28, 0.000, X ,"(A, 7)",18,15
29, 0.349, O ,"(H, 4)",16,18
30, 0.000, X ,"(G, 2)",18,17
31, 0.369, O ,"(F, 1)",15,21
32, 0.000, X ,"(G, 4)",17,20
33, 0.205, O ,"(G, 5)",14,24
34, 0.000, X ,"(G, 6)",16,23
35, 0.190, O ,"(B, 7)",15,25
36, 0.001, X ,"(C, 7)",17,24
37, 0.166, O ,"(A, 8)",16,26
38, 0.149, O ,"(D, 8)",15,28
39, 0.000, X ,"(D, 7)",17,27
40, 0.134, O ,"(E, 7)",14,31
41, 0.124, O ,"(F, 3)",13,33
42, 0.142, O ,"(H, 5)",12,35
43, 0.158, O ,"(G, 7)",10,38
44, 0.001, X ,"(G, 8)",15,34
45, 0.142, O ,"(F, 6)",12,38
46, 0.000, X ,"(F, 5)",14,37
47, 0.127, O ,"(H, 8)",13,39
48, 0.001, X ,"(F, 7)",15,38
49, 0.096, O ,"(H, 7)",12,42
50, 0.000, X ,"(H, 6)",14,41
51, 0.071, O ,"(C, 6)",12,44
52, 0.000, X ,"(F, 8)",14,43
53, 0.029, O ,"(E, 8)",10,48
54, 0.000, X ,"(H, 3)",13,46
55, 0.006, O ,"(H, 1)",6,54
56, 0.000, X ,"(E, 6)",8,53
57, 0.001, O ,"(D, 6)",5,57
58, 0.000, X ,"(C, 8)",13,50
59, 0.001, O ,"(B, 8)",11,53
