,Round,Time,Color,Move,Black,White,Depth,Cost,Score
1959,8,2.143, O ,"(D, 1)",3,9,6,max,6.0
1960,9,1.897, X ,"(C, 1)",5,8,6,min,-3.0
1961,10,3.319, O ,"(A, 4)",3,11,6,max,8.0
1962,11,1.189, X ,"(C, 3)",5,10,6,min,-5.0
1963,12,1.875, O ,"(F, 3)",2,14,6,max,12.0
1964,13,1.193, X ,"(F, 4)",4,13,6,min,-9.0
1965,14,1.906, O ,"(E, 2)",3,15,6,max,12.0
1966,15,2.295, X ,"(E, 1)",5,14,6,min,-9.0
1967,16,1.785, O ,"(G, 3)",4,16,6,max,12.0
1968,17,1.556, X ,"(F, 2)",6,15,6,min,-9.0
1969,18,1.335, O ,"(F, 1)",4,18,6,max,14.0
1970,19,4.566, X ,"(G, 4)",7,16,6,min,-9.0
1971,20,3.295, O ,"(H, 3)",6,18,6,max,12.0
1972,21,7.766, X ,"(H, 4)",9,16,6,min,-7.0
1973,22,2.852, O ,"(H, 5)",8,18,6,max,10.0
1974,23,6.326, X ,"(A, 3)",13,14,6,min,-1.0
1975,24,2.29, O ,"(C, 2)",10,18,6,max,8.0
1976,25,5.736, X ,"(G, 5)",13,16,6,min,-3.0
1977,26,2.327, O ,"(B, 1)",10,20,6,max,10.0
1978,27,5.823, X ,"(C, 6)",13,18,6,min,-5.0
1979,28,7.102, O ,"(H, 6)",9,23,6,max,14.0
1980,29,4.397, X ,"(D, 6)",12,21,6,min,-9.0
1981,30,3.018, O ,"(C, 5)",10,24,6,max,14.0
1982,31,3.792, X ,"(A, 5)",12,23,6,min,-11.0
1983,32,3.032, O ,"(E, 7)",11,25,6,max,14.0
1984,33,3.784, X ,"(B, 6)",15,22,6,min,-7.0
1985,34,2.859, O ,"(C, 7)",13,25,6,max,12.0
1986,35,4.998, X ,"(B, 5)",16,23,6,min,-7.0
1987,36,3.498, O ,"(A, 6)",11,29,6,max,18.0
1988,37,5.56, X ,"(G, 6)",14,27,6,min,-13.0
1989,38,4.108, O ,"(F, 6)",8,34,6,max,26.0
1990,39,3.471, X ,"(E, 6)",11,32,6,min,-21.0
1991,40,2.491, O ,"(F, 7)",10,34,6,max,24.0
1992,41,3.405, X ,"(D, 7)",16,29,6,min,-13.0
1993,42,2.97, O ,"(A, 2)",13,33,6,max,20.0
1994,43,3.817, X ,"(C, 8)",15,32,6,min,-17.0
1995,44,3.047, O ,"(D, 8)",10,38,6,max,28.0
1996,45,2.338, X ,"(E, 8)",14,35,6,min,-21.0
1997,46,1.476, O ,"(F, 8)",13,37,6,max,24.0
1998,47,1.157, X ,"(G, 8)",16,35,6,min,-19.0
1999,48,0.629, O ,"(B, 7)",15,37,6,max,22.0
2000,49,0.504, X ,"(A, 8)",19,34,6,min,-15.0
2001,50,0.524, O ,"(B, 8)",18,36,6,max,18.0
2002,51,0.268, X ,"(A, 7)",24,31,6,min,-7.0
2003,52,0.147, O ,"(H, 2)",23,33,6,max,10.0
2004,53,0.076, X ,"(G, 7)",27,30,6,min,-3.0
2005,54,0.02, O ,"(H, 8)",18,40,6,max,22.0
2006,55,0.012, X ,"(A, 1)",24,35,6,min,-11.0
2007,56,0.003, O ,"(H, 7)",21,39,6,max,18.0
2008,57,0.001, X ,"(G, 1)",28,33,6,min,-5.0
2009,58,0.001, O ,"(G, 2)",27,35,6,max,8.0
2010,59,0.0, X ,"(H, 1)",31,32,6,min,-1.0
2011,60,0.0, X ,"(B, 2)",38,26,6,min,12.0
2012,0,0.0,,,2,2,6,,
2013,1,0.411, X ,"(E, 3)",4,1,6,min,3.0
2014,2,0.489, O ,"(F, 5)",3,3,6,hybrid,0.0
2015,3,0.792, X ,"(E, 6)",5,2,6,min,3.0
2016,4,1.005, O ,"(D, 3)",3,5,6,hybrid,2.0
2017,5,1.24, X ,"(C, 4)",5,4,6,min,1.0
2018,6,3.868, O ,"(E, 2)",4,6,6,hybrid,2.0
2019,7,2.494, X ,"(C, 3)",6,5,6,min,1.0
2020,8,3.226, O ,"(B, 3)",5,7,6,hybrid,2.0
2021,9,4.878, X ,"(C, 2)",7,6,6,min,1.0
2022,10,4.846, O ,"(D, 1)",6,8,6,hybrid,2.0
2023,11,5.065, X ,"(C, 1)",8,7,6,min,1.0
2024,12,6.215, O ,"(B, 5)",7,9,6,hybrid,2.0
2025,13,10.086, X ,"(D, 2)",9,8,6,min,1.0
2026,14,6.645, O ,"(C, 6)",8,10,6,hybrid,2.0
2027,15,12.836, X ,"(F, 3)",10,9,6,min,1.0
2028,16,5.856, O ,"(G, 3)",6,14,6,hybrid,8.0
2029,17,9.468, X ,"(F, 2)",9,12,6,min,-3.0
2030,18,8.35, O ,"(F, 1)",7,15,6,hybrid,8.0
2031,19,11.701, X ,"(D, 6)",9,14,6,min,-5.0
2032,20,6.509, O ,"(E, 1)",8,16,6,hybrid,8.0
