,Round,Time,Color,Move,Black,White,Depth,Cost,Score
2273,17,15.562, X ,"(F, 5)",15,6,7,max,9.0
2274,18,13.263, O ,"(B, 6)",14,8,7,hybrid,-6.0
2275,19,13.412, X ,"(F, 1)",19,4,7,max,15.0
2276,20,8.08, O ,"(D, 6)",18,6,7,hybrid,-12.0
2277,21,17.816, X ,"(B, 4)",21,4,7,max,17.0
2278,22,14.201, O ,"(G, 5)",19,7,7,hybrid,-12.0
2279,23,26.22, X ,"(G, 6)",21,6,7,max,15.0
2280,24,24.264, O ,"(G, 3)",20,8,7,hybrid,-12.0
2281,25,33.329, X ,"(H, 6)",23,6,7,max,17.0
2282,26,19.037, O ,"(H, 5)",21,9,7,hybrid,-12.0
2283,27,17.175, X ,"(H, 4)",24,7,7,max,17.0
2284,28,18.58, O ,"(B, 2)",22,10,7,hybrid,-12.0
2285,29,19.128, X ,"(F, 6)",25,8,7,max,17.0
2286,30,13.118, O ,"(G, 4)",23,11,7,hybrid,-12.0
2287,31,11.0, X ,"(H, 3)",25,10,7,max,15.0
2288,32,9.908, O ,"(B, 1)",23,13,7,hybrid,-10.0
2289,33,11.216, X ,"(A, 1)",29,8,7,max,21.0
2290,34,7.31, O ,"(B, 5)",28,10,7,hybrid,-18.0
2291,35,6.562, X ,"(A, 6)",32,7,7,max,25.0
2292,36,5.825, O ,"(E, 6)",31,9,7,hybrid,-22.0
2293,37,6.049, X ,"(C, 7)",35,6,7,max,29.0
2294,38,6.586, O ,"(C, 6)",34,8,7,hybrid,-26.0
2295,39,5.137, X ,"(F, 7)",37,6,7,max,31.0
2296,40,6.817, O ,"(A, 5)",36,8,7,hybrid,-28.0
2297,41,3.084, X ,"(A, 4)",38,7,7,max,31.0
2298,42,7.338, O ,"(E, 7)",36,10,7,hybrid,-26.0
2299,43,4.5, X ,"(E, 8)",41,6,7,max,35.0
2300,44,5.272, O ,"(C, 8)",40,8,7,hybrid,-32.0
2301,45,1.982, X ,"(B, 7)",44,5,7,max,39.0
2302,46,1.9, O ,"(A, 2)",43,7,7,hybrid,-36.0
2303,47,1.562, X ,"(D, 7)",46,5,7,max,41.0
2304,48,2.096, O ,"(G, 8)",41,11,7,hybrid,-30.0
2305,49,0.572, X ,"(F, 8)",43,10,7,max,33.0
2306,50,1.056, O ,"(A, 8)",41,13,7,hybrid,-28.0
2307,51,0.396, X ,"(H, 8)",43,12,7,max,31.0
2308,52,0.301, O ,"(G, 7)",35,21,7,hybrid,-14.0
2309,53,0.136, X ,"(B, 8)",38,19,7,max,19.0
2310,54,0.086, O ,"(H, 7)",34,24,7,hybrid,-10.0
2311,55,0.008, X ,"(D, 8)",39,20,7,max,19.0
2312,56,0.008, O ,"(A, 7)",30,30,7,hybrid,0.0
2313,57,0.003, O ,"(G, 2)",23,38,7,hybrid,15.0
2314,58,0.001, X ,"(G, 1)",31,31,7,max,0.0
2315,59,0.0, O ,"(H, 1)",30,33,7,hybrid,3.0
2316,60,0.0, X ,"(H, 2)",32,32,7,max,0.0
2317,0,0.0,,,2,2,7,,
2318,1,1.085, X ,"(E, 3)",4,1,7,min,3.0
2319,2,1.491, O ,"(F, 3)",3,3,7,max,0.0
2320,3,1.729, X ,"(F, 4)",5,2,7,min,3.0
2321,4,3.659, O ,"(D, 3)",3,5,7,max,2.0
2322,5,7.66, X ,"(C, 2)",5,4,7,min,1.0
2323,6,13.261, O ,"(C, 3)",4,6,7,max,2.0
2324,7,8.721, X ,"(D, 2)",6,5,7,min,1.0
2325,8,14.745, O ,"(C, 1)",5,7,7,max,2.0
2326,9,11.553, X ,"(F, 2)",7,6,7,min,1.0
2327,10,30.925, O ,"(D, 1)",6,8,7,max,2.0
2328,11,14.611, X ,"(C, 4)",8,7,7,min,1.0
2329,12,31.388, O ,"(G, 3)",6,10,7,max,4.0
2330,13,16.618, X ,"(E, 2)",9,8,7,min,1.0
2331,14,36.276, O ,"(F, 1)",8,10,7,max,2.0
2332,15,29.649, X ,"(G, 4)",10,9,7,min,1.0
2333,16,51.398, O ,"(C, 5)",7,13,7,max,6.0
2334,17,20.901, X ,"(B, 3)",9,12,7,min,-3.0
2335,18,35.413, O ,"(E, 1)",8,14,7,max,6.0
2336,19,28.158, X ,"(B, 4)",11,12,7,min,-1.0
2337,20,44.649, O ,"(A, 3)",7,17,7,max,10.0
2338,21,32.605, X ,"(A, 4)",9,16,7,min,-7.0
2339,22,28.402, O ,"(F, 5)",5,21,7,max,16.0
2340,23,14.885, X ,"(C, 6)",7,20,7,min,-13.0
2341,24,26.194, O ,"(A, 5)",5,23,7,max,18.0
2342,25,25.583, X ,"(D, 6)",7,22,7,min,-15.0
2343,26,37.935, O ,"(H, 4)",6,24,7,max,18.0
2344,27,17.657, X ,"(G, 5)",9,22,7,min,-13.0
2345,28,24.397, O ,"(B, 5)",8,24,7,max,16.0
2346,29,16.614, X ,"(H, 3)",10,23,7,min,-13.0
2347,30,13.645, O ,"(H, 2)",9,25,7,max,16.0
2348,31,5.611, X ,"(B, 2)",11,24,7,min,-13.0
2349,32,8.954, O ,"(H, 5)",5,31,7,max,26.0
2350,33,4.732, X ,"(F, 6)",7,30,7,min,-23.0
2351,34,8.914, O ,"(F, 7)",6,32,7,max,26.0
2352,35,5.06, X ,"(B, 6)",11,28,7,min,-17.0
2353,36,9.407, O ,"(E, 7)",8,32,7,max,24.0
2354,37,5.266, X ,"(E, 6)",12,29,7,min,-17.0
2355,38,5.002, O ,"(A, 1)",8,34,7,max,26.0
2356,39,1.465, X ,"(B, 1)",10,33,7,min,-23.0
2357,40,2.33, O ,"(A, 2)",5,39,7,max,34.0
2358,41,2.348, X ,"(F, 8)",7,38,7,min,-31.0
2359,42,2.87, O ,"(A, 6)",3,43,7,max,40.0
2360,43,1.996, X ,"(G, 6)",8,39,7,min,-31.0
2361,44,4.897, O ,"(D, 7)",7,41,7,max,34.0
2362,45,5.287, X ,"(C, 7)",12,37,7,min,-25.0
2363,46,5.597, O ,"(D, 8)",11,39,7,max,28.0
2364,47,3.182, X ,"(G, 8)",15,36,7,min,-21.0
2365,48,2.131, O ,"(H, 6)",14,38,7,max,24.0
2366,49,1.883, X ,"(E, 8)",17,36,7,min,-19.0
2367,50,1.237, O ,"(C, 8)",14,40,7,max,26.0
2368,51,0.661, X ,"(G, 7)",18,37,7,min,-19.0
2369,52,0.227, O ,"(B, 7)",15,41,7,max,26.0
2370,53,0.121, X ,"(H, 7)",19,38,7,min,-19.0
2371,54,0.025, O ,"(H, 8)",10,48,7,max,38.0
2372,55,0.025, X ,"(A, 8)",14,45,7,min,-31.0
2373,56,0.006, O ,"(A, 7)",13,47,7,max,34.0
2374,57,0.002, X ,"(B, 8)",20,41,7,min,-21.0
2375,58,0.002, X ,"(G, 2)",28,34,7,min,-6.0
2376,59,0.0, O ,"(G, 1)",22,41,7,max,19.0
2377,60,0.0, X ,"(H, 1)",29,35,7,min,-6.0
2378,0,0.0,,,2,2,7,,
2379,1,1.446, X ,"(E, 3)",4,1,7,min,3.0
2380,2,1.655, O ,"(D, 3)",3,3,7,hybrid,0.0
2381,3,2.316, X ,"(C, 4)",5,2,7,min,3.0
2382,4,3.221, O ,"(B, 3)",4,4,7,hybrid,0.0
2383,5,5.387, X ,"(B, 4)",6,3,7,min,3.0
2384,6,7.593, O ,"(F, 5)",4,6,7,hybrid,2.0
2385,7,12.579, X ,"(D, 2)",6,5,7,min,1.0
2386,8,10.025, O ,"(E, 2)",5,7,7,hybrid,2.0
2387,9,14.142, X ,"(F, 3)",7,6,7,min,1.0
2388,10,12.561, O ,"(C, 3)",6,8,7,hybrid,2.0
2389,11,26.173, X ,"(C, 2)",8,7,7,min,1.0
2390,12,22.576, O ,"(F, 2)",7,9,7,hybrid,2.0
2391,13,39.615, X ,"(D, 1)",9,8,7,min,1.0
2392,14,23.632, O ,"(E, 1)",8,10,7,hybrid,2.0
2393,15,47.662, X ,"(A, 3)",10,9,7,min,1.0
2394,16,21.37, O ,"(G, 3)",9,11,7,hybrid,2.0
2395,17,39.233, X ,"(F, 4)",13,8,7,min,5.0
2396,18,24.391, O ,"(C, 5)",11,11,7,hybrid,0.0
2397,19,44.441, X ,"(F, 1)",16,7,7,min,9.0
2398,20,25.464, O ,"(C, 1)",12,12,7,hybrid,0.0
2399,21,47.915, X ,"(H, 3)",14,11,7,min,3.0
2400,22,21.349, O ,"(A, 4)",12,14,7,hybrid,2.0
2401,23,44.753, X ,"(B, 5)",14,13,7,min,1.0
2402,24,34.681, O ,"(A, 5)",13,15,7,hybrid,2.0
2403,25,38.417, X ,"(B, 6)",17,12,7,min,5.0
2404,26,45.818, O ,"(G, 4)",13,17,7,hybrid,4.0
2405,27,37.804, X ,"(A, 6)",18,13,7,min,5.0
2406,28,12.886, O ,"(D, 6)",17,15,7,hybrid,-2.0
2407,29,10.662, X ,"(B, 1)",20,13,7,min,7.0
2408,30,7.134, O ,"(H, 2)",19,15,7,hybrid,-4.0
2409,31,13.189, X ,"(H, 1)",21,14,7,min,7.0
2410,32,2.141, O ,"(G, 1)",19,17,7,hybrid,-2.0
2411,33,3.341, X ,"(G, 2)",21,16,7,min,5.0
2412,34,0.967, O ,"(A, 1)",16,22,7,hybrid,6.0
2413,35,1.849, X ,"(B, 2)",19,20,7,min,-1.0
2414,36,0.815, O ,"(A, 2)",15,25,7,hybrid,10.0
2415,37,2.034, X ,"(H, 5)",17,24,7,min,-7.0
2416,38,0.914, O ,"(H, 4)",16,26,7,hybrid,10.0
2417,39,1.931, X ,"(E, 6)",22,21,7,min,1.0
2418,40,1.641, O ,"(H, 6)",21,23,7,hybrid,2.0
2419,41,0.976, X ,"(G, 5)",23,22,7,min,1.0
2420,42,1.45, O ,"(F, 7)",22,24,7,hybrid,2.0
2421,43,1.03, X ,"(C, 6)",24,23,7,min,1.0
2422,44,2.343, O ,"(F, 6)",18,30,7,hybrid,12.0
2423,45,4.485, X ,"(E, 7)",23,26,7,min,-3.0
2424,46,2.507, O ,"(D, 8)",22,28,7,hybrid,6.0
2425,47,3.079, X ,"(F, 8)",24,27,7,min,-3.0
2426,48,1.572, O ,"(A, 7)",18,34,7,hybrid,16.0
2427,49,1.233, X ,"(H, 7)",22,31,7,min,-9.0
2428,50,0.477, O ,"(E, 8)",16,38,7,hybrid,22.0
2429,51,0.505, X ,"(C, 8)",19,36,7,min,-17.0
2430,52,0.128, O ,"(B, 7)",17,39,7,hybrid,22.0
2431,53,0.111, X ,"(D, 7)",21,36,7,min,-15.0
2432,54,0.04, O ,"(C, 7)",18,40,7,hybrid,22.0
2433,55,0.02, X ,"(G, 6)",22,37,7,min,-15.0
2434,56,0.008, O ,"(G, 7)",17,43,7,hybrid,26.0
2435,57,0.006, X ,"(A, 8)",23,38,7,min,-15.0
2436,58,0.0, O ,"(B, 8)",22,40,7,hybrid,18.0
2437,59,0.0, X ,"(G, 8)",29,34,7,min,-5.0
2438,60,0.0, O ,"(H, 8)",23,41,7,hybrid,18.0
2439,0,0.0,,,2,2,7,,
2440,1,1.068, X ,"(E, 3)",4,1,7,hybrid,3.0
2441,2,1.475, O ,"(F, 3)",3,3,7,max,0.0
2442,3,1.67, X ,"(F, 4)",5,2,7,hybrid,3.0
2443,4,3.678, O ,"(D, 3)",3,5,7,max,2.0
2444,5,7.457, X ,"(C, 2)",5,4,7,hybrid,1.0
2445,6,13.14, O ,"(C, 3)",4,6,7,max,2.0
2446,7,8.645, X ,"(D, 2)",6,5,7,hybrid,1.0
2447,8,14.624, O ,"(C, 1)",5,7,7,max,2.0
2448,9,11.368, X ,"(F, 2)",7,6,7,hybrid,1.0
2449,10,30.863, O ,"(D, 1)",6,8,7,max,2.0
2450,11,14.994, X ,"(C, 4)",8,7,7,hybrid,1.0
2451,12,31.405, O ,"(G, 3)",6,10,7,max,4.0
2452,13,16.61, X ,"(E, 2)",9,8,7,hybrid,1.0
2453,14,36.674, O ,"(F, 1)",8,10,7,max,2.0
2454,15,29.523, X ,"(G, 4)",10,9,7,hybrid,1.0
2455,16,50.848, O ,"(C, 5)",7,13,7,max,6.0
2456,17,20.787, X ,"(B, 3)",9,12,7,hybrid,-3.0
2457,18,35.288, O ,"(E, 1)",8,14,7,max,6.0
2458,19,27.976, X ,"(B, 4)",11,12,7,hybrid,-1.0
2459,20,44.6, O ,"(A, 3)",7,17,7,max,10.0
2460,21,32.553, X ,"(A, 4)",9,16,7,hybrid,-7.0
2461,22,26.504, O ,"(F, 5)",5,21,7,max,16.0
2462,23,15.125, X ,"(C, 6)",7,20,7,hybrid,-13.0
2463,24,26.577, O ,"(A, 5)",5,23,7,max,18.0
2464,25,25.486, X ,"(D, 6)",7,22,7,hybrid,-15.0
2465,26,38.068, O ,"(H, 4)",6,24,7,max,18.0
2466,27,17.592, X ,"(G, 5)",9,22,7,hybrid,-13.0
2467,28,24.586, O ,"(B, 5)",8,24,7,max,16.0
2468,29,16.136, X ,"(H, 3)",10,23,7,hybrid,-13.0
2469,30,13.542, O ,"(H, 2)",9,25,7,max,16.0
2470,31,5.604, X ,"(B, 2)",11,24,7,hybrid,-13.0
2471,32,8.968, O ,"(H, 5)",5,31,7,max,26.0
2472,33,4.71, X ,"(F, 6)",7,30,7,hybrid,-23.0
2473,34,8.982, O ,"(F, 7)",6,32,7,max,26.0
2474,35,5.197, X ,"(B, 6)",11,28,7,hybrid,-17.0
2475,36,9.456, O ,"(E, 7)",8,32,7,max,24.0
2476,37,5.249, X ,"(E, 6)",12,29,7,hybrid,-17.0
2477,38,5.022, O ,"(A, 1)",8,34,7,max,26.0
2478,39,1.472, X ,"(B, 1)",10,33,7,hybrid,-23.0
2479,40,2.339, O ,"(A, 2)",5,39,7,max,34.0
2480,41,2.399, X ,"(F, 8)",7,38,7,hybrid,-31.0
2481,42,2.855, O ,"(A, 6)",3,43,7,max,40.0
2482,43,1.992, X ,"(G, 6)",8,39,7,hybrid,-31.0
2483,44,4.911, O ,"(D, 7)",7,41,7,max,34.0
2484,45,5.368, X ,"(C, 7)",12,37,7,hybrid,-25.0
2485,46,5.584, O ,"(D, 8)",11,39,7,max,28.0
2486,47,2.913, X ,"(G, 2)",19,32,7,hybrid,-13.0
2487,48,1.133, O ,"(H, 1)",16,36,7,max,20.0
2488,49,0.497, X ,"(G, 1)",22,31,7,hybrid,-9.0
2489,50,0.721, O ,"(B, 7)",21,33,7,max,12.0
2490,51,0.789, X ,"(E, 8)",28,27,7,hybrid,1.0
2491,52,0.344, O ,"(H, 6)",26,30,7,max,4.0
2492,53,0.365, X ,"(A, 8)",30,27,7,hybrid,3.0
2493,54,0.124, O ,"(C, 8)",29,29,7,max,0.0
2494,55,0.032, X ,"(H, 7)",31,28,7,hybrid,3.0
2495,56,0.016, O ,"(G, 8)",25,35,7,max,10.0
2496,57,0.005, X ,"(G, 7)",28,33,7,hybrid,-5.0
2497,58,0.0, O ,"(H, 8)",24,38,7,max,14.0
2498,59,0.001, X ,"(A, 7)",29,34,7,hybrid,-5.0
2499,60,0.001, O ,"(B, 8)",26,38,7,max,12.0
2500,0,0.0,,,2,2,7,,
2501,1,1.252, X ,"(E, 3)",4,1,7,hybrid,3.0
2502,2,1.654, O ,"(D, 3)",3,3,7,min,0.0
2503,3,2.333, X ,"(C, 4)",5,2,7,hybrid,3.0
2504,4,3.32, O ,"(B, 3)",4,4,7,min,0.0
2505,5,5.447, X ,"(B, 4)",6,3,7,hybrid,3.0
2506,6,7.604, O ,"(F, 5)",4,6,7,min,2.0
2507,7,12.846, X ,"(D, 2)",6,5,7,hybrid,1.0
2508,8,10.334, O ,"(E, 2)",5,7,7,min,2.0
2509,9,14.5, X ,"(F, 3)",7,6,7,hybrid,1.0
2510,10,12.786, O ,"(C, 3)",6,8,7,min,2.0
2511,11,26.98, X ,"(C, 2)",8,7,7,hybrid,1.0
2512,12,22.214, O ,"(F, 2)",7,9,7,min,2.0
2513,13,38.231, X ,"(D, 1)",9,8,7,hybrid,1.0
2514,14,23.554, O ,"(E, 1)",8,10,7,min,2.0
2515,15,47.513, X ,"(A, 3)",10,9,7,hybrid,1.0
2516,16,21.365, O ,"(G, 3)",9,11,7,min,2.0
2517,17,39.191, X ,"(F, 4)",13,8,7,hybrid,5.0
2518,18,24.191, O ,"(C, 5)",11,11,7,min,0.0
2519,19,44.305, X ,"(F, 1)",16,7,7,hybrid,9.0
2520,20,25.181, O ,"(C, 1)",12,12,7,min,0.0
2521,21,47.699, X ,"(H, 3)",14,11,7,hybrid,3.0
2522,22,21.122, O ,"(A, 4)",12,14,7,min,2.0
2523,23,44.581, X ,"(B, 5)",14,13,7,hybrid,1.0
2524,24,34.019, O ,"(A, 5)",13,15,7,min,2.0
2525,25,32.97, X ,"(B, 6)",17,12,7,hybrid,5.0
2526,26,39.5, O ,"(G, 4)",13,17,7,min,4.0
2527,27,32.461, X ,"(A, 6)",18,13,7,hybrid,5.0
2528,28,11.156, O ,"(D, 6)",17,15,7,min,-2.0
2529,29,9.171, X ,"(B, 1)",20,13,7,hybrid,7.0
2530,30,6.133, O ,"(H, 2)",19,15,7,min,-4.0
2531,31,11.222, X ,"(H, 1)",21,14,7,hybrid,7.0
2532,32,1.831, O ,"(G, 1)",19,17,7,min,-2.0
2533,33,2.861, X ,"(G, 2)",21,16,7,hybrid,5.0
2534,34,0.82, O ,"(A, 1)",16,22,7,min,6.0
2535,35,1.618, X ,"(B, 2)",19,20,7,hybrid,-1.0
2536,36,0.712, O ,"(A, 2)",15,25,7,min,10.0
2537,37,1.754, X ,"(H, 5)",17,24,7,hybrid,-7.0
2538,38,0.74, O ,"(H, 4)",16,26,7,min,10.0
2539,39,1.617, X ,"(E, 6)",22,21,7,hybrid,1.0
2540,40,1.436, O ,"(H, 6)",21,23,7,min,2.0
2541,41,0.85, X ,"(G, 5)",23,22,7,hybrid,1.0
2542,42,1.266, O ,"(F, 7)",22,24,7,min,2.0
2543,43,0.903, X ,"(C, 6)",24,23,7,hybrid,1.0
2544,44,1.999, O ,"(F, 6)",18,30,7,min,12.0
2545,45,3.838, X ,"(E, 7)",23,26,7,hybrid,-3.0
2546,46,3.152, O ,"(E, 8)",17,33,7,min,16.0
2547,47,1.45, X ,"(H, 7)",21,30,7,hybrid,-9.0
2548,48,0.823, O ,"(C, 7)",18,34,7,min,16.0
2549,49,0.858, X ,"(G, 6)",26,27,7,hybrid,-1.0
2550,50,1.166, O ,"(D, 7)",24,30,7,min,6.0
2551,51,0.712, X ,"(F, 8)",29,26,7,hybrid,3.0
2552,52,0.382, O ,"(G, 8)",26,30,7,min,4.0
2553,53,0.231, X ,"(D, 8)",29,28,7,hybrid,1.0
2554,54,0.093, O ,"(C, 8)",24,34,7,min,10.0
2555,55,0.023, X ,"(B, 7)",29,30,7,hybrid,-1.0
2556,56,0.009, O ,"(G, 7)",25,35,7,min,10.0
2557,57,0.003, O ,"(A, 8)",21,40,7,min,19.0
2558,58,0.001, X ,"(A, 7)",23,39,7,hybrid,-16.0
2559,59,0.0, O ,"(B, 8)",17,46,7,min,29.0
