,Round,Depth,Score
273,29,5,-2.0
274,30,5,-2.0
275,31,5,1.0
276,32,5,-3.0
277,33,5,3.0
278,34,5,0.0
279,35,5,4.0
280,36,5,-1.0
281,37,5,6.0
282,38,5,7.0
283,39,5,8.0
284,40,5,8.0
285,41,5,16.0
286,42,5,10.0
287,43,5,14.0
288,44,5,10.0
289,45,5,14.0
290,46,5,18.0
291,47,5,18.0
292,48,5,21.0
293,49,5,21.0
294,50,5,19.0
295,51,5,22.0
296,52,5,23.0
297,53,5,21.0
298,54,5,19.0
299,55,5,27.0
300,56,5,31.0
301,57,5,30.0
302,58,5,31.0
303,59,5,33.0
304,60,5,40.0
305,0,6,0.0
306,1,6,0.0
307,2,6,0.0
308,3,6,0.0
309,4,6,0.0
310,5,6,0.0
311,6,6,0.0
312,7,6,0.0
313,8,6,0.0
314,9,6,0.0
315,10,6,0.0
316,11,6,0.0
317,12,6,0.0
318,13,6,0.0
319,14,6,0.0
320,15,6,0.0
321,16,6,0.0
322,17,6,0.0
323,18,6,0.0
324,19,6,0.0
325,20,6,-2.0
326,21,6,-3.0
327,22,6,-1.0
328,23,6,-1.0
329,24,6,-1.0
330,25,6,-2.0
331,26,6,0.0
332,27,6,1.0
333,28,6,2.0
334,29,6,2.0
335,30,6,2.0
336,31,6,3.0
337,32,6,1.0
338,33,6,2.0
339,34,6,5.0
340,35,6,4.0
341,36,6,2.0
342,37,6,2.0
343,38,6,4.0
344,39,6,5.0
345,40,6,7.0
346,41,6,5.0
347,42,6,4.0
348,43,6,4.0
349,44,6,4.0
350,45,6,4.0
351,46,6,7.0
352,47,6,10.0
353,48,6,12.0
354,49,6,11.0
355,50,6,9.0
356,51,6,11.0
357,52,6,11.0
358,53,6,10.0
359,54,6,11.0
360,55,6,12.0
361,56,6,14.0
362,57,6,17.0
363,58,6,20.0
364,59,6,19.0
365,60,6,21.0
366,0,7,0.0
367,1,7,0.0
368,2,7,0.0
369,3,7,0.0
370,4,7,0.0
371,5,7,0.0
372,6,7,0.0
373,7,7,0.0
374,8,7,0.0
375,9,7,0.0
376,10,7,0.0
377,11,7,0.0
378,12,7,0.0
379,13,7,0.0
380,14,7,1.0
381,15,7,1.0
382,16,7,0.0
383,17,7,0.0
384,18,7,1.0
385,19,7,2.0
386,20,7,0.0
387,21,7,0.0
388,22,7,0.0
389,23,7,-2.0
390,24,7,-2.0
391,25,7,-1.0
392,26,7,-2.0
393,27,7,-3.0
394,28,7,-5.0
395,29,7,-1.0
396,30,7,-1.0
397,31,7,-1.0
398,32,7,-1.0
399,33,7,3.0
400,34,7,4.0
401,35,7,6.0
402,36,7,3.0
403,37,7,5.0
404,38,7,5.0
405,39,7,5.0
406,40,7,5.0
407,41,7,8.0
408,42,7,6.0
409,43,7,7.0
410,44,7,7.0
411,45,7,8.0
412,46,7,9.0
413,47,7,10.0
414,48,7,10.0
415,49,7,8.0
416,50,7,10.0
417,51,7,11.0
418,52,7,12.0
419,53,7,12.0
420,54,7,17.0
421,55,7,17.0
422,56,7,18.0
423,57,7,14.0
424,58,7,17.0
425,59,7,16.0
426,60,7,33.0
