,Round,Time,Increasing,Player,Score,Depth
164,42,0.006,False,Second,0,2
165,43,0.011,True,Second,5,2
166,44,0.01,False,Second,2,2
167,45,0.006,True,Second,5,2
168,46,0.008,False,Second,-4,2
169,47,0.087,True,Second,3,2
170,48,0.006,False,Second,0,2
171,49,0.038,True,Second,3,2
172,50,0.005,False,Second,-2,2
173,51,0.053,True,Second,3,2
174,52,0.002,False,Second,-4,2
175,53,0.017,True,Second,3,2
176,54,0.001,False,Second,-6,2
177,55,0.01,True,Second,-1,2
178,56,0.001,False,Second,-6,2
179,57,0.005,True,Second,-1,2
180,58,0.0,False,Second,-4,2
181,59,0.001,True,Second,1,2
182,60,0.001,False,Second,-2,2
183,0,0.0,,First,0,2
184,1,0.008,False,First,-3,2
185,2,0.006,True,First,0,2
186,3,0.008,False,First,-3,2
187,4,0.011,True,First,0,2
188,5,0.011,False,First,-3,2
189,6,0.01,True,First,0,2
190,7,0.009,False,First,-3,2
191,8,0.01,True,First,0,2
192,9,0.011,False,First,-3,2
193,10,0.011,True,First,0,2
194,11,0.009,False,First,-5,2
195,12,0.015,True,First,-2,2
196,13,0.009,False,First,-7,2
197,14,0.017,True,First,-4,2
198,15,0.007,False,First,-9,2
199,16,0.011,True,First,-6,2
200,17,0.015,False,First,-9,2
201,18,0.016,True,First,-6,2
202,19,0.016,False,First,-9,2
203,20,0.012,True,First,-4,2
204,21,0.016,False,First,-9,2
205,22,0.015,True,First,-4,2
206,23,0.018,False,First,-9,2
207,24,0.012,True,First,-2,2
208,25,0.015,False,First,-5,2
209,26,0.009,True,First,-2,2
210,27,0.018,False,First,-5,2
211,28,0.01,True,First,2,2
212,29,0.015,False,First,-3,2
213,30,0.009,True,First,4,2
214,31,0.014,False,First,-1,2
215,32,0.01,True,First,6,2
216,33,0.013,False,First,3,2
217,34,0.011,True,First,6,2
218,35,0.015,False,First,1,2
219,36,0.023,True,First,10,2
220,37,0.009,False,First,3,2
221,38,0.01,True,First,8,2
222,39,0.009,False,First,-1,2
223,40,0.006,True,First,2,2
224,41,0.008,False,First,-3,2
225,42,0.008,True,First,0,2
226,43,0.007,False,First,-5,2
227,44,0.008,True,First,-2,2
228,45,0.007,False,First,-5,2
229,46,0.085,True,First,2,2
230,47,0.006,False,First,-3,2
231,48,0.071,True,First,4,2
232,49,0.004,False,First,-3,2
233,50,0.033,True,First,4,2
234,51,0.003,False,First,-3,2
235,52,0.06,True,First,0,2
236,53,0.002,False,First,-3,2
237,54,0.015,True,First,0,2
238,55,0.001,False,First,-3,2
239,56,0.006,True,First,0,2
240,57,0.0,False,First,-5,2
241,58,0.0,True,First,12,2
242,59,0.0,True,First,27,2
243,60,0.001,False,First,18,2
244,0,0.0,,Second,0,3
245,1,0.013,True,Second,3,3
246,2,0.015,False,Second,0,3
247,3,0.022,True,Second,3,3
248,4,0.024,False,Second,0,3
249,5,0.034,True,Second,3,3
250,6,0.034,False,Second,0,3
251,7,0.037,True,Second,3,3
252,8,0.043,False,Second,0,3
253,9,0.051,True,Second,3,3
254,10,0.064,False,Second,0,3
255,11,0.085,True,Second,3,3
256,12,0.057,False,Second,0,3
257,13,0.078,True,Second,3,3
258,14,0.035,False,Second,0,3
259,15,0.06,True,Second,3,3
260,16,0.07,False,Second,0,3
261,17,0.082,True,Second,5,3
262,18,0.091,False,Second,2,3
263,19,0.139,True,Second,7,3
264,20,0.071,False,Second,2,3
265,21,0.062,True,Second,5,3
266,22,0.064,False,Second,2,3
267,23,0.067,True,Second,5,3
268,24,0.065,False,Second,2,3
269,25,0.077,True,Second,7,3
270,26,0.085,False,Second,4,3
271,27,0.092,True,Second,11,3
272,28,0.086,False,Second,8,3
273,29,0.096,True,Second,11,3
274,30,0.086,False,Second,8,3
275,31,0.099,True,Second,15,3
276,32,0.062,False,Second,12,3
277,33,0.056,True,Second,17,3
278,34,0.057,False,Second,12,3
279,35,0.066,True,Second,15,3
280,36,0.062,False,Second,10,3
281,37,0.063,True,Second,15,3
282,38,0.079,False,Second,12,3
283,39,0.051,True,Second,19,3
284,40,0.053,False,Second,14,3
285,41,0.05,True,Second,17,3
286,42,0.048,False,Second,12,3
287,43,0.016,True,Second,19,3
288,44,0.047,False,Second,10,3
289,45,0.04,True,Second,19,3
290,46,0.027,False,Second,6,3
291,47,0.384,True,Second,13,3
292,48,0.026,False,Second,10,3
293,49,0.114,True,Second,21,3
294,50,0.014,False,Second,18,3
295,51,0.102,True,Second,21,3
296,52,0.012,False,Second,12,3
297,53,0.03,True,Second,15,3
298,54,0.007,False,Second,2,3
299,55,0.013,True,Second,13,3
300,56,0.002,False,Second,10,3
301,57,0.003,True,Second,19,3
302,58,0.002,False,Second,-4,3
303,59,0.001,True,Second,3,3
304,60,0.0,False,Second,-20,3
305,0,0.0,,First,0,3
306,1,0.013,False,First,-3,3
307,2,0.014,True,First,0,3
308,3,0.019,False,First,-3,3
309,4,0.021,True,First,0,3
310,5,0.035,False,First,-3,3
311,6,0.033,True,First,0,3
312,7,0.041,False,First,-3,3
313,8,0.042,True,First,0,3
314,9,0.051,False,First,-3,3
315,10,0.072,True,First,0,3
316,11,0.09,False,First,-3,3
317,12,0.046,True,First,0,3
318,13,0.067,False,First,-3,3
319,14,0.034,True,First,0,3
320,15,0.06,False,First,-3,3
321,16,0.068,True,First,0,3
322,17,0.082,False,First,-5,3
323,18,0.108,True,First,-2,3
324,19,0.127,False,First,-7,3
325,20,0.071,True,First,-2,3
326,21,0.058,False,First,-5,3
327,22,0.064,True,First,-2,3
328,23,0.067,False,First,-5,3
329,24,0.069,True,First,-2,3
330,25,0.074,False,First,-7,3
331,26,0.076,True,First,-4,3
332,27,0.09,False,First,-11,3
333,28,0.086,True,First,-8,3
334,29,0.095,False,First,-11,3
335,30,0.101,True,First,-8,3
