,Round,Time,Color,Move,Black,White,Depth,Score,Pruning,Log_Time
0,1,0.003, X ,"(E, 3)",4,1,1,3,False,0.001300933020418072
1,3,0.003, X ,"(C, 6)",5,2,1,3,False,0.001300933020418072
2,5,0.004, X ,"(F, 2)",5,4,1,1,False,0.0017337128090005314
3,7,0.003, X ,"(E, 1)",6,5,1,1,False,0.001300933020418072
4,9,0.004, X ,"(C, 5)",7,6,1,1,False,0.0017337128090005314
5,11,0.007, X ,"(A, 4)",8,7,1,1,False,0.003029470553617962
6,13,0.005, X ,"(B, 3)",10,7,1,3,False,0.0021660617565076304
7,15,0.003, X ,"(E, 6)",12,7,1,5,False,0.001300933020418072
8,17,0.009, X ,"(C, 4)",13,8,1,5,False,0.0038911662369104775
9,19,0.003, X ,"(G, 5)",14,9,1,5,False,0.001300933020418072
10,21,0.001, X ,"(D, 1)",14,11,1,3,False,0.0004340774793185929
11,23,0.008, X ,"(F, 3)",13,14,1,-1,False,0.003460532109506489
12,25,0.003, X ,"(F, 1)",14,15,1,-1,False,0.001300933020418072
13,27,0.006, X ,"(H, 1)",13,18,1,-5,False,0.0025979807199085947
14,29,0.002, X ,"(H, 4)",13,20,1,-7,False,0.0008677215312269133
15,31,0.005, X ,"(D, 2)",15,20,1,-5,False,0.0021660617565076304
16,33,0.003, X ,"(G, 4)",16,21,1,-5,False,0.001300933020418072
17,35,0.006, X ,"(G, 2)",16,23,1,-7,False,0.0025979807199085947
18,37,0.006, X ,"(H, 3)",17,24,1,-7,False,0.0025979807199085947
19,38,0.006, X ,"(A, 5)",20,22,1,-2,False,0.0025979807199085947
20,40,0.002, X ,"(A, 3)",23,21,1,2,False,0.0008677215312269133
21,42,0.002, X ,"(A, 1)",22,24,1,-2,False,0.0008677215312269133
22,44,0.002, X ,"(H, 6)",23,25,1,-2,False,0.0008677215312269133
23,45,0.002, X ,"(E, 8)",26,23,1,3,False,0.0008677215312269133
24,47,0.003, X ,"(C, 7)",31,20,1,11,False,0.001300933020418072
25,49,0.006, X ,"(F, 6)",33,20,1,13,False,0.0025979807199085947
26,51,0.002, X ,"(D, 7)",34,21,1,13,False,0.0008677215312269133
27,53,0.001, X ,"(C, 8)",35,22,1,13,False,0.0004340774793185929
28,55,0.001, X ,"(H, 8)",42,17,1,25,False,0.0004340774793185929
29,57,0.001, X ,"(A, 8)",43,18,1,25,False,0.0004340774793185929
30,59,0.001, X ,"(A, 7)",46,17,1,29,False,0.0004340774793185929
31,1,0.011, X ,"(E, 3)",4,1,1,3,False,0.00475115559100102
32,3,0.001, X ,"(C, 6)",5,2,1,3,False,0.0004340774793185929
33,5,0.005, X ,"(F, 2)",5,4,1,1,False,0.0021660617565076304
34,7,0.014, X ,"(E, 1)",6,5,1,1,False,0.006037954997317177
35,9,0.006, X ,"(D, 3)",7,6,1,1,False,0.0025979807199085947
36,11,0.003, X ,"(B, 3)",7,8,1,-1,False,0.001300933020418072
37,13,0.005, X ,"(G, 3)",7,10,1,-3,False,0.0021660617565076304
38,15,0.004, X ,"(C, 4)",7,12,1,-5,False,0.0017337128090005314
39,17,0.007, X ,"(C, 2)",8,13,1,-5,False,0.003029470553617962
40,19,0.006, X ,"(A, 1)",8,15,1,-7,False,0.0025979807199085947
41,21,0.005, X ,"(C, 1)",8,17,1,-9,False,0.0021660617565076304
42,23,0.006, X ,"(D, 1)",8,19,1,-11,False,0.0025979807199085947
43,25,0.011, X ,"(A, 3)",8,21,1,-13,False,0.00475115559100102
44,26,0.011, X ,"(A, 4)",11,19,1,-8,False,0.00475115559100102
45,27,0.004, X ,"(B, 4)",14,17,1,-3,False,0.0017337128090005314
46,28,0.004, X ,"(G, 4)",17,15,1,2,False,0.0017337128090005314
47,30,0.009, X ,"(H, 1)",18,16,1,2,False,0.0038911662369104775
48,32,0.004, X ,"(A, 8)",22,14,1,8,False,0.0017337128090005314
49,34,0.004, X ,"(G, 1)",23,15,1,8,False,0.0017337128090005314
50,36,0.007, X ,"(B, 5)",25,15,1,10,False,0.003029470553617962
51,38,0.002, X ,"(A, 6)",27,15,1,12,False,0.0008677215312269133
52,40,0.008, X ,"(G, 6)",29,15,1,14,False,0.003460532109506489
53,42,0.003, X ,"(F, 6)",31,15,1,16,False,0.001300933020418072
54,44,0.004, X ,"(B, 6)",32,16,1,16,False,0.0017337128090005314
55,46,0.004, X ,"(H, 4)",36,14,1,22,False,0.0017337128090005314
56,48,0.004, X ,"(F, 8)",39,13,1,26,False,0.0017337128090005314
57,50,0.006, X ,"(D, 6)",42,12,1,30,False,0.0025979807199085947
58,52,0.0, X ,"(H, 6)",44,12,1,32,False,0.0
59,54,0.003, X ,"(H, 8)",45,13,1,32,False,0.001300933020418072
60,56,0.001, X ,"(D, 8)",49,11,1,38,False,0.0004340774793185929
61,58,0.002, X ,"(C, 8)",52,10,1,42,False,0.0008677215312269133
62,60,0.001, X ,"(H, 7)",53,11,1,42,False,0.0004340774793185929
63,1,0.003, X ,"(E, 3)",4,1,1,3,False,0.001300933020418072
64,3,0.002, X ,"(C, 2)",5,2,1,3,False,0.0008677215312269133
65,5,0.001, X ,"(C, 1)",6,3,1,3,False,0.0004340774793185929
66,7,0.007, X ,"(C, 3)",6,5,1,1,False,0.003029470553617962
67,9,0.003, X ,"(B, 3)",7,6,1,1,False,0.001300933020418072
68,11,0.002, X ,"(A, 1)",8,7,1,1,False,0.0008677215312269133
69,13,0.007, X ,"(D, 1)",9,8,1,1,False,0.003029470553617962
70,15,0.003, X ,"(A, 4)",9,10,1,-1,False,0.001300933020418072
71,17,0.002, X ,"(F, 1)",10,11,1,-1,False,0.0008677215312269133
72,19,0.002, X ,"(E, 2)",11,12,1,-1,False,0.0008677215312269133
73,21,0.005, X ,"(G, 3)",9,16,1,-7,False,0.0021660617565076304
74,23,0.002, X ,"(F, 3)",10,17,1,-7,False,0.0008677215312269133
75,25,0.004, X ,"(G, 4)",10,19,1,-9,False,0.0017337128090005314
76,27,0.002, X ,"(H, 1)",11,20,1,-9,False,0.0008677215312269133
77,29,0.002, X ,"(G, 2)",13,20,1,-7,False,0.0008677215312269133
78,31,0.004, X ,"(B, 5)",13,22,1,-9,False,0.0017337128090005314
79,33,0.002, X ,"(C, 5)",16,21,1,-5,False,0.0008677215312269133
80,35,0.007, X ,"(B, 6)",16,23,1,-7,False,0.003029470553617962
81,37,0.003, X ,"(E, 7)",17,24,1,-7,False,0.001300933020418072
82,39,0.003, X ,"(E, 6)",19,24,1,-5,False,0.001300933020418072
83,41,0.003, X ,"(C, 6)",18,27,1,-9,False,0.001300933020418072
84,43,0.006, X ,"(C, 8)",19,28,1,-9,False,0.0025979807199085947
85,45,0.004, X ,"(H, 6)",21,28,1,-7,False,0.0017337128090005314
86,47,0.002, X ,"(A, 8)",25,26,1,-1,False,0.0008677215312269133
87,49,0.001, X ,"(A, 6)",32,21,1,11,False,0.0004340774793185929
88,51,0.002, X ,"(H, 5)",39,16,1,23,False,0.0008677215312269133
89,53,0.001, X ,"(C, 4)",43,14,1,29,False,0.0004340774793185929
90,55,0.001, X ,"(F, 7)",49,10,1,39,False,0.0004340774793185929
91,57,0.0, X ,"(G, 8)",54,7,1,47,False,0.0
92,59,0.001, X ,"(H, 8)",54,9,1,45,False,0.0004340774793185929
93,1,0.002, X ,"(E, 3)",4,1,1,3,False,0.0008677215312269133
94,3,0.003, X ,"(C, 2)",5,2,1,3,False,0.001300933020418072
95,5,0.002, X ,"(C, 3)",6,3,1,3,False,0.0008677215312269133
96,7,0.002, X ,"(G, 5)",7,4,1,3,False,0.0008677215312269133
97,9,0.003, X ,"(D, 6)",8,5,1,3,False,0.001300933020418072
98,11,0.002, X ,"(C, 1)",8,7,1,1,False,0.0008677215312269133
99,13,0.002, X ,"(A, 1)",9,8,1,1,False,0.0008677215312269133
100,15,0.002, X ,"(E, 1)",10,9,1,1,False,0.0008677215312269133
101,17,0.003, X ,"(A, 2)",11,10,1,1,False,0.001300933020418072
102,19,0.002, X ,"(B, 3)",12,11,1,1,False,0.0008677215312269133
103,21,0.002, X ,"(B, 4)",13,12,1,1,False,0.0008677215312269133
104,23,0.004, X ,"(B, 6)",14,13,1,1,False,0.0017337128090005314
105,25,0.003, X ,"(C, 5)",15,14,1,1,False,0.001300933020418072
106,27,0.003, X ,"(E, 2)",13,18,1,-5,False,0.001300933020418072
107,29,0.004, X ,"(C, 6)",12,21,1,-9,False,0.0017337128090005314
108,31,0.003, X ,"(A, 6)",11,24,1,-13,False,0.001300933020418072
109,33,0.003, X ,"(D, 7)",12,25,1,-13,False,0.001300933020418072
110,35,0.003, X ,"(A, 8)",13,26,1,-13,False,0.001300933020418072
111,37,0.002, X ,"(A, 7)",14,27,1,-13,False,0.0008677215312269133
112,39,0.006, X ,"(D, 8)",14,29,1,-15,False,0.0025979807199085947
113,41,0.002, X ,"(F, 7)",14,31,1,-17,False,0.0008677215312269133
114,43,0.001, X ,"(F, 8)",16,31,1,-15,False,0.0004340774793185929
115,45,0.002, X ,"(G, 4)",18,31,1,-13,False,0.0008677215312269133
116,47,0.001, X ,"(F, 2)",23,28,1,-5,False,0.0004340774793185929
117,49,0.004, X ,"(H, 1)",27,26,1,1,False,0.0017337128090005314
118,51,0.002, X ,"(A, 5)",31,24,1,7,False,0.0008677215312269133
119,53,0.002, X ,"(F, 6)",36,21,1,15,False,0.0008677215312269133
120,55,0.002, X ,"(H, 8)",39,20,1,19,False,0.0008677215312269133
121,57,0.002, X ,"(H, 3)",42,19,1,23,False,0.0008677215312269133
122,59,0.0, X ,"(H, 2)",44,19,1,25,False,0.0
123,1,0.001, X ,"(E, 3)",4,1,1,3,False,0.0004340774793185929
124,3,0.002, X ,"(C, 6)",5,2,1,3,False,0.0008677215312269133
125,5,0.002, X ,"(D, 3)",6,3,1,3,False,0.0008677215312269133
126,7,0.002, X ,"(C, 2)",6,5,1,1,False,0.0008677215312269133
127,9,0.002, X ,"(F, 2)",5,8,1,-3,False,0.0008677215312269133
128,11,0.002, X ,"(F, 1)",6,9,1,-3,False,0.0008677215312269133
129,13,0.002, X ,"(D, 1)",7,10,1,-3,False,0.0008677215312269133
130,15,0.002, X ,"(F, 4)",7,12,1,-5,False,0.0008677215312269133
131,17,0.001, X ,"(A, 8)",11,10,1,1,False,0.0004340774793185929
132,19,0.003, X ,"(F, 6)",12,11,1,1,False,0.001300933020418072
133,21,0.002, X ,"(A, 1)",15,10,1,5,False,0.0008677215312269133
134,23,0.003, X ,"(C, 1)",16,11,1,5,False,0.001300933020418072
135,25,0.002, X ,"(B, 3)",17,12,1,5,False,0.0008677215312269133
136,27,0.002, X ,"(H, 1)",19,12,1,7,False,0.0008677215312269133
137,29,0.002, X ,"(G, 4)",20,13,1,7,False,0.0008677215312269133
138,31,0.002, X ,"(G, 3)",20,15,1,5,False,0.0008677215312269133
139,33,0.003, X ,"(B, 5)",20,17,1,3,False,0.001300933020418072
140,35,0.003, X ,"(H, 4)",20,19,1,1,False,0.001300933020418072
141,37,0.003, X ,"(A, 4)",21,20,1,1,False,0.001300933020418072
142,39,0.003, X ,"(H, 6)",20,23,1,-3,False,0.001300933020418072
143,41,0.003, X ,"(H, 3)",21,24,1,-3,False,0.001300933020418072
144,43,0.002, X ,"(A, 5)",22,25,1,-3,False,0.0008677215312269133
145,45,0.003, X ,"(C, 7)",22,27,1,-5,False,0.001300933020418072
146,47,0.002, X ,"(H, 8)",25,26,1,-1,False,0.0008677215312269133
147,49,0.002, X ,"(D, 7)",35,18,1,17,False,0.0008677215312269133
148,51,0.001, X ,"(E, 7)",37,18,1,19,False,0.0004340774793185929
149,53,0.001, X ,"(C, 5)",41,16,1,25,False,0.0004340774793185929
150,55,0.0, X ,"(A, 7)",47,12,1,35,False,0.0
151,57,0.0, X ,"(D, 8)",47,14,1,33,False,0.0
152,59,0.0, X ,"(F, 8)",51,12,1,39,False,0.0
153,1,0.002, X ,"(E, 3)",4,1,1,3,False,0.0008677215312269133
154,3,0.002, X ,"(G, 3)",5,2,1,3,False,0.0008677215312269133
155,5,0.001, X ,"(D, 1)",6,3,1,3,False,0.0004340774793185929
156,7,0.002, X ,"(C, 3)",7,4,1,3,False,0.0008677215312269133
157,9,0.003, X ,"(F, 2)",8,5,1,3,False,0.001300933020418072
158,11,0.002, X ,"(F, 4)",9,6,1,3,False,0.0008677215312269133
159,13,0.003, X ,"(H, 1)",9,8,1,1,False,0.001300933020418072
160,15,0.002, X ,"(F, 1)",10,9,1,1,False,0.0008677215312269133
161,17,0.001, X ,"(B, 3)",11,10,1,1,False,0.0004340774793185929
162,19,0.001, X ,"(A, 4)",12,11,1,1,False,0.0004340774793185929
163,21,0.004, X ,"(H, 3)",10,15,1,-5,False,0.0017337128090005314
164,23,0.002, X ,"(D, 2)",12,15,1,-3,False,0.0008677215312269133
165,25,0.002, X ,"(H, 4)",9,20,1,-11,False,0.0008677215312269133
166,27,0.002, X ,"(G, 5)",10,21,1,-11,False,0.0008677215312269133
167,29,0.002, X ,"(F, 5)",12,21,1,-9,False,0.0008677215312269133
168,31,0.001, X ,"(E, 7)",10,25,1,-15,False,0.0004340774793185929
169,33,0.004, X ,"(C, 6)",13,24,1,-11,False,0.0017337128090005314
170,35,0.002, X ,"(B, 5)",14,25,1,-11,False,0.0008677215312269133
171,37,0.002, X ,"(E, 6)",15,26,1,-11,False,0.0008677215312269133
172,39,0.002, X ,"(H, 5)",16,27,1,-11,False,0.0008677215312269133
173,41,0.002, X ,"(D, 7)",12,33,1,-21,False,0.0008677215312269133
174,43,0.002, X ,"(B, 6)",10,37,1,-27,False,0.0008677215312269133
175,45,0.001, X ,"(A, 8)",12,37,1,-25,False,0.0004340774793185929
176,47,0.003, X ,"(B, 4)",17,34,1,-17,False,0.001300933020418072
177,49,0.002, X ,"(D, 8)",22,31,1,-9,False,0.0008677215312269133
178,51,0.004, X ,"(A, 1)",26,29,1,-3,False,0.0017337128090005314
179,53,0.001, X ,"(B, 1)",32,25,1,7,False,0.0004340774793185929
180,55,0.001, X ,"(B, 2)",34,25,1,9,False,0.0004340774793185929
181,57,0.001, X ,"(H, 7)",41,20,1,21,False,0.0004340774793185929
182,59,0.003, X ,"(H, 8)",41,22,1,19,False,0.001300933020418072
183,1,0.002, X ,"(E, 3)",4,1,1,3,False,0.0008677215312269133
184,3,0.002, X ,"(G, 3)",5,2,1,3,False,0.0008677215312269133
185,5,0.004, X ,"(F, 4)",6,3,1,3,False,0.0017337128090005314
186,7,0.001, X ,"(F, 2)",6,5,1,1,False,0.0004340774793185929
187,9,0.002, X ,"(H, 1)",7,6,1,1,False,0.0008677215312269133
188,11,0.002, X ,"(G, 4)",7,8,1,-1,False,0.0008677215312269133
189,13,0.002, X ,"(D, 3)",8,9,1,-1,False,0.0008677215312269133
190,15,0.004, X ,"(C, 1)",9,10,1,-1,False,0.0017337128090005314
191,17,0.003, X ,"(E, 1)",10,11,1,-1,False,0.001300933020418072
192,19,0.002, X ,"(F, 1)",9,14,1,-5,False,0.0008677215312269133
193,21,0.002, X ,"(B, 3)",10,15,1,-5,False,0.0008677215312269133
194,23,0.002, X ,"(F, 5)",11,16,1,-5,False,0.0008677215312269133
195,25,0.003, X ,"(D, 7)",12,17,1,-5,False,0.001300933020418072
196,27,0.002, X ,"(H, 3)",10,21,1,-11,False,0.0008677215312269133
197,29,0.002, X ,"(H, 4)",10,23,1,-13,False,0.0008677215312269133
198,31,0.001, X ,"(D, 6)",11,24,1,-13,False,0.0004340774793185929
199,33,0.005, X ,"(H, 6)",12,25,1,-13,False,0.0021660617565076304
200,35,0.001, X ,"(C, 7)",13,26,1,-13,False,0.0004340774793185929
201,37,0.002, X ,"(F, 8)",10,31,1,-21,False,0.0008677215312269133
202,39,0.002, X ,"(F, 6)",12,31,1,-19,False,0.0008677215312269133
203,41,0.001, X ,"(G, 6)",12,33,1,-21,False,0.0004340774793185929
204,43,0.003, X ,"(C, 8)",11,36,1,-25,False,0.001300933020418072
205,45,0.002, X ,"(E, 8)",14,35,1,-21,False,0.0008677215312269133
206,47,0.003, X ,"(A, 8)",17,34,1,-17,False,0.001300933020418072
207,49,0.002, X ,"(B, 4)",22,31,1,-9,False,0.0008677215312269133
208,51,0.002, X ,"(A, 5)",28,27,1,1,False,0.0008677215312269133
209,53,0.003, X ,"(A, 3)",34,23,1,11,False,0.001300933020418072
210,55,0.0, X ,"(B, 7)",35,24,1,11,False,0.0
211,57,0.0, X ,"(A, 7)",37,24,1,13,False,0.0
212,59,0.0, X ,"(A, 1)",45,18,1,27,False,0.0
213,60,0.0, X ,"(H, 8)",51,13,1,38,False,0.0
214,1,0.002, X ,"(E, 3)",4,1,1,3,False,0.0008677215312269133
215,3,0.002, X ,"(C, 6)",5,2,1,3,False,0.0008677215312269133
216,5,0.003, X ,"(F, 2)",5,4,1,1,False,0.001300933020418072
217,7,0.002, X ,"(E, 1)",6,5,1,1,False,0.0008677215312269133
218,9,0.002, X ,"(B, 3)",6,7,1,-1,False,0.0008677215312269133
219,11,0.002, X ,"(G, 3)",7,8,1,-1,False,0.0008677215312269133
220,13,0.002, X ,"(B, 5)",8,9,1,-1,False,0.0008677215312269133
221,15,0.002, X ,"(D, 3)",9,10,1,-1,False,0.0008677215312269133
222,17,0.002, X ,"(D, 1)",10,11,1,-1,False,0.0008677215312269133
223,19,0.002, X ,"(D, 7)",11,12,1,-1,False,0.0008677215312269133
224,21,0.002, X ,"(F, 4)",13,12,1,1,False,0.0008677215312269133
225,23,0.004, X ,"(A, 8)",15,12,1,3,False,0.0017337128090005314
226,25,0.002, X ,"(D, 2)",16,13,1,3,False,0.0008677215312269133
227,27,0.003, X ,"(H, 1)",17,14,1,3,False,0.001300933020418072
228,29,0.002, X ,"(F, 3)",18,15,1,3,False,0.0008677215312269133
229,31,0.001, X ,"(A, 4)",19,16,1,3,False,0.0004340774793185929
230,33,0.002, X ,"(H, 4)",20,17,1,3,False,0.0008677215312269133
231,35,0.004, X ,"(H, 3)",21,18,1,3,False,0.0017337128090005314
232,37,0.002, X ,"(G, 4)",21,20,1,1,False,0.0008677215312269133
233,39,0.002, X ,"(A, 1)",23,20,1,3,False,0.0008677215312269133
234,41,0.002, X ,"(A, 3)",19,26,1,-7,False,0.0008677215312269133
235,43,0.002, X ,"(H, 6)",20,27,1,-7,False,0.0008677215312269133
236,45,0.002, X ,"(F, 6)",22,27,1,-5,False,0.0008677215312269133
237,47,0.001, X ,"(C, 3)",31,20,1,11,False,0.0004340774793185929
238,49,0.002, X ,"(H, 8)",34,19,1,15,False,0.0008677215312269133
239,51,0.001, X ,"(F, 8)",37,18,1,19,False,0.0004340774793185929
240,53,0.001, X ,"(E, 7)",40,17,1,23,False,0.0004340774793185929
241,55,0.001, X ,"(A, 7)",48,11,1,37,False,0.0004340774793185929
242,57,0.0, X ,"(E, 8)",50,11,1,39,False,0.0
243,1,0.001, X ,"(E, 3)",4,1,1,3,False,0.0004340774793185929
244,3,0.002, X ,"(G, 3)",5,2,1,3,False,0.0008677215312269133
245,5,0.004, X ,"(F, 4)",6,3,1,3,False,0.0017337128090005314
246,7,0.002, X ,"(H, 3)",6,5,1,1,False,0.0008677215312269133
247,9,0.002, X ,"(H, 1)",6,7,1,-1,False,0.0008677215312269133
248,11,0.001, X ,"(F, 1)",7,8,1,-1,False,0.0004340774793185929
249,13,0.002, X ,"(D, 6)",9,8,1,1,False,0.0008677215312269133
250,15,0.003, X ,"(D, 2)",10,9,1,1,False,0.001300933020418072
251,17,0.002, X ,"(E, 1)",11,10,1,1,False,0.0008677215312269133
252,19,0.002, X ,"(B, 4)",12,11,1,1,False,0.0008677215312269133
253,21,0.001, X ,"(F, 2)",12,13,1,-1,False,0.0004340774793185929
254,23,0.002, X ,"(C, 4)",13,14,1,-1,False,0.0008677215312269133
255,25,0.003, X ,"(C, 2)",14,15,1,-1,False,0.001300933020418072
256,27,0.002, X ,"(A, 1)",15,16,1,-1,False,0.0008677215312269133
257,29,0.002, X ,"(D, 1)",15,18,1,-3,False,0.0008677215312269133
258,31,0.004, X ,"(B, 1)",15,20,1,-5,False,0.0017337128090005314
259,32,0.002, X ,"(H, 4)",17,19,1,-2,False,0.0008677215312269133
260,33,0.002, X ,"(A, 5)",20,17,1,3,False,0.0008677215312269133
261,35,0.002, X ,"(A, 3)",22,17,1,5,False,0.0008677215312269133
262,37,0.002, X ,"(H, 5)",24,17,1,7,False,0.0008677215312269133
263,39,0.002, X ,"(G, 5)",24,19,1,5,False,0.0008677215312269133
264,41,0.002, X ,"(H, 6)",22,23,1,-1,False,0.0008677215312269133
265,42,0.002, X ,"(F, 7)",24,22,1,2,False,0.0008677215312269133
266,44,0.002, X ,"(H, 8)",27,21,1,6,False,0.0008677215312269133
267,46,0.001, X ,"(B, 6)",33,17,1,16,False,0.0004340774793185929
268,48,0.001, X ,"(A, 8)",37,15,1,22,False,0.0004340774793185929
269,50,0.002, X ,"(C, 5)",38,16,1,22,False,0.0008677215312269133
270,52,0.002, X ,"(A, 7)",44,12,1,32,False,0.0008677215312269133
271,54,0.001, X ,"(E, 7)",49,9,1,40,False,0.0004340774793185929
272,56,0.001, X ,"(C, 8)",48,12,1,36,False,0.0004340774793185929
273,58,0.001, X ,"(F, 8)",49,13,1,36,False,0.0004340774793185929
274,60,0.0, X ,"(G, 8)",50,14,1,36,False,0.0
275,1,0.002, X ,"(E, 3)",4,1,1,3,False,0.0008677215312269133
276,3,0.001, X ,"(C, 2)",5,2,1,3,False,0.0004340774793185929
277,5,0.002, X ,"(C, 4)",6,3,1,3,False,0.0008677215312269133
278,7,0.001, X ,"(D, 2)",5,6,1,-1,False,0.0004340774793185929
279,9,0.002, X ,"(B, 3)",6,7,1,-1,False,0.0008677215312269133
280,11,0.004, X ,"(C, 1)",7,8,1,-1,False,0.0017337128090005314
281,13,0.002, X ,"(A, 1)",8,9,1,-1,False,0.0008677215312269133
282,15,0.002, X ,"(F, 3)",8,11,1,-3,False,0.0008677215312269133
283,17,0.002, X ,"(A, 4)",7,14,1,-7,False,0.0008677215312269133
284,19,0.002, X ,"(A, 3)",9,14,1,-5,False,0.0008677215312269133
285,21,0.002, X ,"(E, 1)",9,16,1,-7,False,0.0008677215312269133
286,22,0.003, X ,"(E, 2)",12,14,1,-2,False,0.001300933020418072
287,24,0.002, X ,"(G, 4)",14,14,1,0,False,0.0008677215312269133
288,26,0.004, X ,"(H, 5)",15,15,1,0,False,0.0017337128090005314
289,28,0.002, X ,"(H, 4)",17,15,1,2,False,0.0008677215312269133
290,30,0.002, X ,"(H, 1)",19,15,1,4,False,0.0008677215312269133
291,32,0.002, X ,"(G, 2)",19,17,1,2,False,0.0008677215312269133
292,34,0.002, X ,"(A, 5)",21,17,1,4,False,0.0008677215312269133
293,36,0.002, X ,"(G, 5)",23,17,1,6,False,0.0008677215312269133
294,38,0.001, X ,"(A, 6)",25,17,1,8,False,0.0004340774793185929
295,40,0.004, X ,"(C, 7)",26,18,1,8,False,0.0017337128090005314
296,42,0.002, X ,"(C, 5)",29,17,1,12,False,0.0008677215312269133
297,44,0.002, X ,"(D, 6)",31,17,1,14,False,0.0008677215312269133
298,46,0.002, X ,"(A, 8)",36,14,1,22,False,0.0008677215312269133
299,48,0.001, X ,"(C, 8)",39,13,1,26,False,0.0004340774793185929
300,50,0.002, X ,"(D, 8)",41,13,1,28,False,0.0008677215312269133
301,52,0.001, X ,"(F, 6)",42,14,1,28,False,0.0004340774793185929
302,54,0.0, X ,"(F, 7)",45,13,1,32,False,0.0
303,56,0.0, X ,"(F, 8)",47,13,1,34,False,0.0
304,58,0.001, X ,"(H, 8)",47,15,1,32,False,0.0004340774793185929
305,60,0.0, X ,"(G, 8)",53,11,1,42,False,0.0
306,1,0.004, X ,"(E, 3)",4,1,1,3,True,0.0017337128090005314
307,3,0.004, X ,"(G, 3)",5,2,1,3,True,0.0017337128090005314
308,5,0.006, X ,"(C, 3)",7,2,1,5,True,0.0025979807199085947
309,7,0.002, X ,"(D, 1)",8,3,1,5,True,0.0008677215312269133
310,9,0.004, X ,"(E, 1)",8,5,1,3,True,0.0017337128090005314
311,11,0.005, X ,"(C, 4)",8,7,1,1,True,0.0021660617565076304
312,13,0.006, X ,"(G, 4)",9,8,1,1,True,0.0025979807199085947
313,15,0.005, X ,"(C, 1)",10,9,1,1,True,0.0021660617565076304
314,17,0.005, X ,"(H, 5)",11,10,1,1,True,0.0021660617565076304
315,19,0.004, X ,"(G, 6)",12,11,1,1,True,0.0017337128090005314
316,21,0.005, X ,"(F, 4)",13,12,1,1,True,0.0021660617565076304
317,23,0.005, X ,"(A, 5)",14,13,1,1,True,0.0021660617565076304
318,25,0.005, X ,"(C, 5)",14,15,1,-1,True,0.0021660617565076304
319,27,0.004, X ,"(F, 7)",16,15,1,1,True,0.0017337128090005314
320,29,0.004, X ,"(C, 7)",17,16,1,1,True,0.0017337128090005314
321,31,0.005, X ,"(H, 1)",18,17,1,1,True,0.0021660617565076304
322,33,0.004, X ,"(F, 1)",18,19,1,-1,True,0.0017337128090005314
323,35,0.004, X ,"(B, 5)",20,19,1,1,True,0.0017337128090005314
324,37,0.004, X ,"(G, 1)",21,20,1,1,True,0.0017337128090005314
325,39,0.0, X ,"(A, 1)",22,21,1,1,True,0.0
326,41,0.002, X ,"(A, 3)",24,21,1,3,True,0.0008677215312269133
327,43,0.0, X ,"(B, 3)",25,22,1,3,True,0.0
328,45,0.0, X ,"(F, 8)",28,21,1,7,True,0.0
329,47,0.0, X ,"(D, 8)",35,16,1,19,True,0.0
330,49,0.002, X ,"(G, 7)",42,11,1,31,True,0.0008677215312269133
331,51,0.003, X ,"(A, 6)",42,13,1,29,True,0.001300933020418072
332,53,0.0, X ,"(H, 8)",40,17,1,23,True,0.0
333,55,0.0, X ,"(A, 2)",43,16,1,27,True,0.0
334,57,0.001, X ,"(C, 8)",41,20,1,21,True,0.0004340774793185929
335,59,0.0, X ,"(A, 8)",41,22,1,19,True,0.0
336,1,0.007, X ,"(E, 3)",4,1,1,3,True,0.003029470553617962
337,3,0.008, X ,"(G, 3)",5,2,1,3,True,0.003460532109506489
338,5,0.004, X ,"(D, 1)",6,3,1,3,True,0.0017337128090005314
339,7,0.004, X ,"(F, 2)",7,4,1,3,True,0.0017337128090005314
340,9,0.004, X ,"(C, 3)",8,5,1,3,True,0.0017337128090005314
341,11,0.004, X ,"(B, 4)",9,6,1,3,True,0.0017337128090005314
342,13,0.004, X ,"(F, 4)",8,9,1,-1,True,0.0017337128090005314
343,15,0.006, X ,"(D, 2)",8,11,1,-3,True,0.0025979807199085947
344,17,0.005, X ,"(G, 4)",8,13,1,-5,True,0.0021660617565076304
345,19,0.004, X ,"(H, 1)",9,14,1,-5,True,0.0017337128090005314
346,21,0.008, X ,"(E, 1)",10,15,1,-5,True,0.003460532109506489
347,23,0.005, X ,"(A, 5)",8,19,1,-11,True,0.0021660617565076304
348,25,0.005, X ,"(A, 3)",8,21,1,-13,True,0.0021660617565076304
349,27,0.004, X ,"(H, 4)",9,22,1,-13,True,0.0017337128090005314
350,29,0.005, X ,"(D, 6)",10,23,1,-13,True,0.0021660617565076304
351,31,0.004, X ,"(H, 2)",9,26,1,-17,True,0.0017337128090005314
352,33,0.005, X ,"(F, 5)",10,27,1,-17,True,0.0021660617565076304
353,35,0.008, X ,"(E, 6)",11,28,1,-17,True,0.003460532109506489
354,37,0.004, X ,"(H, 6)",12,29,1,-17,True,0.0017337128090005314
355,38,0.006, X ,"(D, 7)",14,28,1,-14,True,0.0025979807199085947
356,40,0.008, X ,"(C, 8)",15,29,1,-14,True,0.003460532109506489
357,42,0.008, X ,"(C, 5)",17,29,1,-12,True,0.003460532109506489
358,44,0.004, X ,"(A, 1)",20,28,1,-8,True,0.0017337128090005314
