,Time,Color,Move,Black,White
0, 1.068, X ,"(E, 3)",4,1
1, 1.475, O ,"(F, 3)",3,3
2, 1.670, X ,"(F, 4)",5,2
3, 3.678, O ,"(D, 3)",3,5
4, 7.457, X ,"(C, 2)",5,4
5, 13.140, O ,"(C, 3)",4,6
6, 8.645, X ,"(D, 2)",6,5
7, 14.624, O ,"(C, 1)",5,7
8, 11.368, X ,"(F, 2)",7,6
9, 30.863, O ,"(D, 1)",6,8
10, 14.994, X ,"(C, 4)",8,7
11, 31.405, O ,"(G, 3)",6,10
12, 16.610, X ,"(E, 2)",9,8
13, 36.674, O ,"(F, 1)",8,10
14, 29.523, X ,"(G, 4)",10,9
15, 50.848, O ,"(C, 5)",7,13
16, 20.787, X ,"(B, 3)",9,12
17, 35.288, O ,"(E, 1)",8,14
18, 27.976, X ,"(B, 4)",11,12
19, 44.600, O ,"(A, 3)",7,17
20, 32.553, X ,"(A, 4)",9,16
21, 26.504, O ,"(F, 5)",5,21
22, 15.125, X ,"(C, 6)",7,20
23, 26.577, O ,"(A, 5)",5,23
24, 25.486, X ,"(D, 6)",7,22
25, 38.068, O ,"(H, 4)",6,24
26, 17.592, X ,"(G, 5)",9,22
27, 24.586, O ,"(B, 5)",8,24
28, 16.136, X ,"(H, 3)",10,23
29, 13.542, O ,"(H, 2)",9,25
30, 5.604, X ,"(B, 2)",11,24
31, 8.968, O ,"(H, 5)",5,31
32, 4.710, X ,"(F, 6)",7,30
33, 8.982, O ,"(F, 7)",6,32
34, 5.197, X ,"(B, 6)",11,28
35, 9.456, O ,"(E, 7)",8,32
36, 5.249, X ,"(E, 6)",12,29
37, 5.022, O ,"(A, 1)",8,34
38, 1.472, X ,"(B, 1)",10,33
39, 2.339, O ,"(A, 2)",5,39
40, 2.399, X ,"(F, 8)",7,38
41, 2.855, O ,"(A, 6)",3,43
42, 1.992, X ,"(G, 6)",8,39
43, 4.911, O ,"(D, 7)",7,41
44, 5.368, X ,"(C, 7)",12,37
45, 5.584, O ,"(D, 8)",11,39
46, 2.913, X ,"(G, 2)",19,32
47, 1.133, O ,"(H, 1)",16,36
48, 0.497, X ,"(G, 1)",22,31
49, 0.721, O ,"(B, 7)",21,33
50, 0.789, X ,"(E, 8)",28,27
51, 0.344, O ,"(H, 6)",26,30
52, 0.365, X ,"(A, 8)",30,27
53, 0.124, O ,"(C, 8)",29,29
54, 0.032, X ,"(H, 7)",31,28
55, 0.016, O ,"(G, 8)",25,35
56, 0.005, X ,"(G, 7)",28,33
57, 0.000, O ,"(H, 8)",24,38
58, 0.001, X ,"(A, 7)",29,34
59, 0.001, O ,"(B, 8)",26,38
