,Time,Color,Move,Black,White
0, 0.815, X ,"(E, 3)",4,1
1, 1.487, O ,"(D, 3)",3,3
2, 2.787, X ,"(C, 2)",5,2
3, 3.203, O ,"(D, 2)",4,4
4, 8.414, X ,"(C, 5)",7,2
5, 2.810, O ,"(F, 3)",6,4
6, 3.772, X ,"(E, 2)",9,2
7, 8.624, O ,"(D, 1)",7,5
8, 4.682, X ,"(C, 1)",9,4
9, 6.348, O ,"(B, 3)",8,6
10, 8.693, X ,"(E, 1)",11,4
11, 10.415, O ,"(F, 2)",9,7
12, 12.871, X ,"(C, 3)",13,4
13, 6.521, O ,"(C, 4)",12,6
14, 15.033, X ,"(A, 3)",14,5
15, 14.290, O ,"(F, 4)",12,8
16, 15.562, X ,"(F, 5)",15,6
17, 13.263, O ,"(B, 6)",14,8
18, 13.412, X ,"(F, 1)",19,4
19, 8.080, O ,"(D, 6)",18,6
20, 17.816, X ,"(B, 4)",21,4
21, 14.201, O ,"(G, 5)",19,7
22, 26.220, X ,"(G, 6)",21,6
23, 24.264, O ,"(G, 3)",20,8
24, 33.329, X ,"(H, 6)",23,6
25, 19.037, O ,"(H, 5)",21,9
26, 17.175, X ,"(H, 4)",24,7
27, 18.580, O ,"(B, 2)",22,10
28, 19.128, X ,"(F, 6)",25,8
29, 13.118, O ,"(G, 4)",23,11
30, 11.000, X ,"(H, 3)",25,10
31, 9.908, O ,"(B, 1)",23,13
32, 11.216, X ,"(A, 1)",29,8
33, 7.310, O ,"(B, 5)",28,10
34, 6.562, X ,"(A, 6)",32,7
35, 5.825, O ,"(E, 6)",31,9
36, 6.049, X ,"(C, 7)",35,6
37, 6.586, O ,"(C, 6)",34,8
38, 5.137, X ,"(F, 7)",37,6
39, 6.817, O ,"(A, 5)",36,8
40, 3.084, X ,"(A, 4)",38,7
41, 7.338, O ,"(E, 7)",36,10
42, 4.500, X ,"(E, 8)",41,6
43, 5.272, O ,"(C, 8)",40,8
44, 1.982, X ,"(B, 7)",44,5
45, 1.900, O ,"(A, 2)",43,7
46, 1.562, X ,"(D, 7)",46,5
47, 2.096, O ,"(G, 8)",41,11
48, 0.572, X ,"(F, 8)",43,10
49, 1.056, O ,"(A, 8)",41,13
50, 0.396, X ,"(H, 8)",43,12
51, 0.301, O ,"(G, 7)",35,21
52, 0.136, X ,"(B, 8)",38,19
53, 0.086, O ,"(H, 7)",34,24
54, 0.008, X ,"(D, 8)",39,20
55, 0.008, O ,"(A, 7)",30,30
56, 0.003, O ,"(G, 2)",23,38
57, 0.001, X ,"(G, 1)",31,31
58, 0.000, O ,"(H, 1)",30,33
59, 0.000, X ,"(H, 2)",32,32
