,Time,Color,Move,Black,White
0, 0.001, X ,"(E, 3)",4,1
1, 0.002, O ,"(D, 3)",3,3
2, 0.001, X ,"(C, 3)",6,1
3, 0.003, O ,"(F, 3)",5,3
4, 0.002, X ,"(G, 3)",7,2
5, 0.002, O ,"(C, 2)",6,4
6, 0.003, X ,"(C, 6)",9,2
7, 0.002, O ,"(B, 3)",8,4
8, 0.002, X ,"(A, 3)",12,1
9, 0.004, O ,"(A, 4)",11,3
10, 0.001, X ,"(C, 1)",13,2
11, 0.001, O ,"(D, 1)",12,4
12, 0.003, X ,"(E, 1)",14,3
13, 0.002, O ,"(C, 4)",13,5
14, 0.002, X ,"(C, 5)",17,2
15, 0.003, O ,"(E, 6)",15,5
16, 0.002, X ,"(B, 4)",17,4
17, 0.002, O ,"(F, 5)",16,6
18, 0.003, X ,"(G, 5)",20,3
19, 0.002, O ,"(G, 4)",19,5
20, 0.002, X ,"(A, 5)",21,4
21, 0.002, O ,"(H, 5)",20,6
22, 0.002, X ,"(G, 6)",24,3
23, 0.002, O ,"(F, 7)",23,5
24, 0.001, X ,"(D, 7)",25,4
25, 0.001, O ,"(E, 2)",23,7
26, 0.001, X ,"(F, 1)",25,6
27, 0.002, O ,"(H, 3)",24,8
28, 0.002, X ,"(G, 2)",28,5
29, 0.001, O ,"(C, 8)",24,10
30, 0.002, X ,"(E, 7)",26,9
31, 0.001, O ,"(B, 5)",21,15
32, 0.002, X ,"(D, 6)",25,12
33, 0.002, O ,"(H, 1)",21,17
34, 0.002, X ,"(E, 8)",25,14
35, 0.001, O ,"(D, 2)",23,17
36, 0.002, X ,"(F, 4)",27,14
37, 0.002, O ,"(F, 2)",26,16
38, 0.002, X ,"(H, 2)",31,12
39, 0.002, O ,"(G, 1)",29,15
40, 0.002, X ,"(H, 4)",33,12
41, 0.002, O ,"(A, 6)",31,15
42, 0.002, X ,"(B, 6)",33,14
43, 0.002, O ,"(D, 8)",31,17
44, 0.001, X ,"(C, 7)",34,15
45, 0.002, O ,"(F, 8)",33,17
46, 0.001, X ,"(F, 6)",35,16
47, 0.001, O ,"(A, 2)",32,20
48, 0.001, X ,"(H, 6)",35,18
49, 0.002, O ,"(B, 2)",31,23
50, 0.001, X ,"(A, 1)",33,22
51, 0.001, O ,"(B, 1)",28,28
52, 0.001, X ,"(A, 7)",34,23
53, 0.001, O ,"(B, 7)",27,31
54, 0.001, X ,"(A, 8)",31,28
55, 0.001, O ,"(B, 8)",30,30
56, 0.001, X ,"(G, 8)",37,24
57, 0.000, O ,"(H, 7)",29,33
58, 0.001, X ,"(G, 7)",31,32
59, 0.000, O ,"(H, 8)",26,38
