,Time,Color,Move,Black,White
0, 1.064, X ,"(E, 3)",4,1
1, 1.242, O ,"(D, 3)",3,3
2, 2.052, X ,"(C, 4)",5,2
3, 2.340, O ,"(B, 3)",4,4
4, 5.076, X ,"(B, 4)",6,3
5, 5.208, O ,"(F, 5)",4,6
6, 11.078, X ,"(D, 2)",6,5
7, 5.128, O ,"(E, 2)",5,7
8, 13.070, X ,"(F, 3)",7,6
9, 7.798, O ,"(C, 3)",6,8
10, 23.160, X ,"(C, 2)",8,7
11, 7.722, O ,"(F, 2)",7,9
12, 33.410, X ,"(D, 1)",9,8
13, 9.106, O ,"(E, 1)",8,10
14, 41.343, X ,"(A, 3)",10,9
15, 6.958, O ,"(C, 1)",8,12
16, 28.015, X ,"(F, 4)",11,10
17, 11.473, O ,"(G, 4)",10,12
18, 40.234, X ,"(G, 3)",13,10
19, 12.184, O ,"(G, 2)",10,14
20, 21.985, X ,"(H, 3)",13,12
21, 10.865, O ,"(H, 4)",12,14
22, 22.405, X ,"(H, 1)",14,13
23, 5.479, O ,"(G, 1)",13,15
24, 17.211, X ,"(H, 5)",16,13
25, 5.062, O ,"(G, 5)",13,17
26, 23.692, X ,"(C, 6)",16,15
27, 7.310, O ,"(B, 1)",13,19
28, 2.080, X ,"(F, 1)",19,14
29, 4.915, O ,"(H, 2)",16,18
30, 1.416, X ,"(A, 1)",21,14
31, 2.973, O ,"(D, 6)",18,18
32, 5.156, X ,"(D, 7)",24,13
33, 2.636, O ,"(B, 2)",22,16
34, 1.422, X ,"(C, 5)",26,13
35, 1.365, O ,"(A, 4)",22,18
36, 1.449, X ,"(A, 5)",26,15
37, 2.054, O ,"(B, 5)",23,19
38, 1.183, X ,"(A, 6)",26,17
39, 2.259, O ,"(B, 6)",25,19
40, 3.202, X ,"(E, 6)",31,14
41, 3.101, O ,"(F, 6)",26,20
42, 1.814, X ,"(H, 6)",29,18
43, 0.696, O ,"(G, 6)",27,21
44, 1.720, X ,"(A, 2)",31,18
45, 1.761, O ,"(C, 8)",30,20
46, 1.095, X ,"(A, 7)",34,17
47, 1.216, O ,"(B, 7)",33,19
48, 1.556, X ,"(A, 8)",36,17
49, 0.451, O ,"(B, 8)",35,19
50, 0.415, X ,"(G, 7)",43,12
51, 0.156, O ,"(F, 7)",42,14
52, 0.235, X ,"(F, 8)",46,11
53, 0.052, O ,"(G, 8)",45,13
54, 0.031, X ,"(H, 8)",47,12
55, 0.007, O ,"(H, 7)",42,18
56, 0.005, X ,"(E, 7)",45,16
57, 0.003, O ,"(D, 8)",42,20
58, 0.000, X ,"(C, 7)",45,18
59, 0.000, X ,"(E, 8)",52,12
